,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,removeview,142,35,120,24
3,StateviewSmall,270,35,157,20
4,view,432,35,49,20
5,unknown_0,489,35,11,24
6,{,509,35,15,24
7,"view,setVisible",54,62,176,24
8,false,238,62,59,20
9,);,305,62,21,24
10,unknown_1,54,89,27,20
13,remove,88,89,69,17
11,from,162,89,49,20
12,scenario,217,89,91,20
14,int,54,116,37,20
15,removedPosition,99,116,165,20
19,=,270,116,16,13
16,indexofView,292,116,132,24
17,view,432,116,49,20
18,);,489,116,21,24
20,mScenarioPanel.remove,54,143,241,24
21,removedPosition,304,143,165,20
22,);,478,143,21,24
23,unknown_2,54,170,27,20
24,take,87,170,48,20
32,care,141,170,48,17
25,of,195,170,26,20
26,the,228,170,37,20
27,big,271,170,36,24
28,unknown_3,315,170,12,24
29,detailed,335,170,91,20
30,unknown_4,435,170,11,24
31,view,454,170,49,20
33,if,54,224,27,20
34,unknown_5,88,224,12,24
35,mCurrentSmalView,108,224,190,20
41,!=,306,224,23,19
36,null,336,224,47,20
42,&&,388,224,29,19
37,mCurrentSmalView.equalse,421,224,273,24
38,view,702,224,49,20
39,)),759,224,22,24
40,{,790,224,14,24
43,mCurrentBigView.setVisible=,97,251,295,24
44,false,400,251,59,20
45,);,467,251,21,24
46,mCurrentBigView,97,278,168,24
48,=,270,278,16,13
47,null;,292,278,56,23
49,mcurrentSmalView,97,305,190,20
51,=,292,305,16,13
50,null;,314,305,56,23
52,unknown_6,55,332,14,24
53,unknown_7,54,359,27,20
60,compute,87,359,80,23
54,the,174,359,37,20
61,new,217,359,37,17
55,number,260,359,69,20
56,of,335,359,27,20
57,pixels,368,359,69,24
62,per,444,359,36,21
58,scenario,487,359,91,20
59,position,584,359,90,24
63,mTimeBar,54,386,456,24
64,scaleNumberofPixelsPerPosition();,54,386,456,24
65,refresh();,55,413,109,24
66,unknown_8,11,440,15,24
