word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
resetSchedConflict(),resetschedConflict(),142,35,218,24
{,{,368,35,15,24
try,try,55,62,37,23
{,{,98,62,15,24
if,if,98,89,26,20
(,(,132,89,11,24
listData,listData,153,89,90,20
==,==,249,89,26,13
-----------,,282,89,47,20
||,|,339,89,8,24
||,|,349,89,9,24
listData.size(),listData.size(),369,89,164,24
==,==,540,89,27,13
0,0,573,89,16,19
),),597,89,11,24
return;,return;,142,117,76,22
for,for,98,143,36,20
(,(,143,143,11,24
int,int,162,143,37,20
i,i,206,143,16,20
=,=,227,143,16,13
0;,0;,249,143,23,22
i,i,292,143,16,20
<,<,313,143,16,16
listData.size();,"listData,size();",336,143,174,24
i++,i++,530,143,37,20
),),575,143,12,24
{,{,595,143,15,24
TblAuditor,TblAuditor,140,170,113,20
auditor,auditor,260,170,80,20
=,=,346,170,16,13
(,(,369,170,12,24
TblAuditor,TbAuditor,389,170,113,20
),),510,170,12,24
listData.get(,listData.get(,531,170,142,24
-----------,1,681,170,16,20
);,);,705,170,21,24
auditor,auditor,141,197,272,24
resetSchedConflict(),setSchedconflict,141,197,272,24
-----------,FALSE,422,197,59,20
);,);,489,197,21,24
},},98,224,14,24
},},55,251,14,24
catch,catch,76,251,58,20
(,(,143,251,11,24
Exception,Exception,163,251,101,24
ex,ex,270,251,27,17
),),305,251,12,24
{,{,325,251,15,24
logger.error(,logger.error(,99,278,142,24
ex,ex,249,278,26,17
);,);,283,278,22,24
FacesUtils.addErrorMessage(,Facesutils.addErrorMessage,98,305,294,24
ex.getMessage(),"ex,getMessage",400,305,165,24
);,);,575,305,21,24
},},55,332,14,24
},},11,359,15,24
