word,predicted_word,x,y,width,height
protected,protected,12,35,101,24
String,String,119,35,69,24
resolveValue(,resoIvevalue,196,35,142,24
MagnetContext,Magnetcontext,346,35,144,23
aContext,acontext,497,35,99,22
String,string,605,35,69,24
value,avalue,681,35,70,20
),),759,35,11,24
throws,throws,779,35,68,20
RenderingException,RenderingException,854,35,199,24
{,{,1060,35,14,24
try,try,55,62,37,23
{,{,98,62,15,24
if,if,98,89,26,20
(,(,132,89,11,24
aValue,aValue,152,89,69,20
==,==,227,89,27,13
-----------,,260,89,48,20
),),316,89,11,24
{,{,336,89,15,24
return,return,142,116,68,19
null;,null;,217,116,55,23
},},98,143,14,24
else,else,119,143,48,20
{,{,174,143,15,24
TemplateElementIF,TemplateElementIF,140,170,189,24
aTemplate,aTemplate,335,170,102,24
=,=,443,170,16,13
_theTemplateFactory.parse(,theTemplateFactory,464,170,284,24
-----------,parse=,464,170,284,24
aValue,aValue,756,170,70,20
);,);,834,170,22,24
return,return,142,197,68,19
aTemplate.render(,aTemplaterender(,216,197,187,24
aContext,acontext,411,197,90,19
);,);,510,197,22,24
},},98,224,14,24
},},55,251,14,24
catch,catch,76,251,58,20
(,(,143,251,11,24
TemplateException,TemplateException,162,251,188,24
te,te,357,251,26,19
),),391,251,12,24
{,{,412,251,14,24
throw,throw,98,278,59,20
new,new,163,278,37,17
RenderingException(,RenderingException(,206,278,207,24
"""Unable","""Unable",423,278,79,20
to,to,509,278,26,19
resolve,resolve,541,278,80,20
the,the,627,278,37,20
value,value,670,278,59,20
"""","""",736,278,13,13
+,+,756,278,16,16
aValue,aValue,778,278,77,23
te,te,865,278,26,19
);,);,899,278,21,24
},},55,305,14,24
},},11,332,15,24
