,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,setBinWidth,141,35,123,20
3,unknown_0,272,35,12,24
4,double,292,35,70,20
5,new_bin_width,368,35,144,22
6,unknown_1,521,35,12,24
7,unknown_2,541,35,15,24
8,double,54,62,70,20
9,old_bin_width,130,62,145,22
11,=,281,62,16,13
10,binWidth;,303,62,99,23
12,binwidth,55,89,90,20
14,=,151,89,16,13
13,new_bin_width;,174,89,152,23
15,pcs.firePropertychange,55,116,250,24
16,"""binWidth""",315,116,119,23
20,new,163,143,37,17
17,Double(,206,143,78,24
18,old_bin_width,292,143,145,22
19,unknown_3,445,143,21,24
24,new,163,170,37,17
21,Double(,206,170,78,24
22,new_bin_width,292,170,145,22
23,));,445,170,33,24
25,repaint();,55,197,109,24
26,unknown_4,11,224,15,24
27,unknown_5,33,224,26,20
28,setBinwidth(,66,224,131,24
29,double,206,224,69,20
30,unknown_6,283,224,12,24
