,word,x,y,width,height
0,private,12,35,80,24
1,void,97,35,48,20
2,setButtonText(),152,35,165,24
3,unknown_0,325,35,15,24
4,string,54,62,70,24
12,txt,130,62,36,19
16,=,173,62,16,13
5,menuItem.getTitle(),195,62,208,24
13,unknown_4,411,62,16,16
6,unknown_1,434,62,13,13
7,unknown_2,456,62,23,24
14,unknown_5,486,62,16,16
8,"menuItem,getstock()",508,62,208,24
15,unknown_6,724,62,16,16
9,unknown_3,747,62,13,13
10,in,767,62,26,20
11,"Stock)"";",799,62,89,24
18,try,55,89,37,23
17,{,98,89,15,24
21,Course,97,116,70,19
22,tmpcourse,174,116,101,23
24,=,281,116,16,13
19,unknown_7,305,116,11,24
23,course,324,116,70,19
20,menuItem;,402,116,108,24
25,if,98,170,26,20
26,unknown_8,132,170,11,24
27,tmpcourse.getcourseType(),152,170,273,24
32,==,432,170,27,13
30,Course.FIRST_,465,170,210,21
31,COURSE,465,170,210,21
28,unknown_9,683,170,12,24
29,unknown_10,703,170,15,24
35,txt,141,197,36,19
38,=,184,197,16,13
33,"""Ist:",207,197,54,20
34,unknown_11,272,197,13,13
37,unknown_12,292,197,16,16
36,txt;,314,197,45,22
39,unknown_13,98,224,14,24
40,else,119,224,48,20
41,{,174,224,15,24
44,txt,141,251,36,19
47,=,184,251,16,13
42,"""2nd:",207,251,54,20
43,unknown_14,272,251,13,13
46,unknown_15,292,251,16,16
45,txt;,314,251,45,22
48,unknown_16,98,278,14,24
49,unknown_17,55,305,14,24
50,catch,76,305,58,20
51,unknown_18,143,305,11,24
52,Exception,163,305,101,24
55,e,270,305,16,17
53,unknown_19,294,305,12,24
54,{,314,305,15,24
56,unknown_20,98,332,26,20
59,TODO:,129,332,57,19
57,handle,195,332,70,20
58,exception,270,332,102,24
60,unknown_21,55,359,14,24
61,this.setText,55,386,142,24
63,txt,206,386,36,19
62,);,251,386,21,24
64,unknown_22,11,413,15,24
