,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,setGenJardir(,141,35,143,24
3,File,292,35,48,20
4,"genJarDir,SandProject",346,35,231,24
5,proj,584,35,46,24
6,unknown_0,640,35,11,24
7,{,660,35,15,24
8,proj,55,62,45,24
9,getAntProject(),101,62,172,24
10,setProperty(,274,62,140,24
11,"""genJardir""",423,62,129,24
12,genJardir,562,62,219,24
13,tostring(),562,62,219,24
14,);,791,62,21,24
15,SandProject[],54,89,143,24
16,downstream,206,89,113,20
19,=,324,89,16,13
17,proj,346,89,229,24
18,getRequiredBy();,346,89,229,24
20,for(,54,143,46,24
21,int,108,143,37,20
22,i-0;,152,143,45,23
23,1,206,143,16,20
29,unknown_2,227,143,16,16
24,downstream,249,143,120,20
25,Zength;,369,143,76,24
26,i++,454,143,37,20
27,unknown_1,499,143,12,24
28,{,520,143,14,24
30,setGenJardir(,98,170,143,24
31,genJardir_,249,170,109,24
32,downstream[,368,170,122,24
33,1,497,170,16,20
34,]);,520,170,33,24
35,unknown_3,55,197,14,24
36,unknown_4,11,224,15,24
