,word,x,y,width,height
0,private,12,35,80,24
1,List,99,35,46,20
2,split(,152,35,67,24
3,String,227,35,69,24
4,line,304,35,47,20
5,unknown_0,359,35,12,24
6,unknown_1,379,35,15,24
7,List,55,62,46,20
8,result;,109,62,77,23
9,if,54,116,27,20
10,unknown_2,88,116,12,24
11,line,110,116,47,20
15,==,162,116,27,13
12,null,195,116,48,20
13,unknown_3,251,116,12,24
14,unknown_4,271,116,15,24
16,result,99,143,67,20
19,=,173,143,16,13
18,new,195,143,38,17
17,ArrayList();,237,143,133,24
20,unknown_5,55,170,14,24
21,else,76,170,48,20
22,{,131,170,14,24
23,StringTokenizer,97,197,167,24
24,tok;,271,197,45,23
25,tok,98,224,37,20
31,=,141,224,16,13
30,new,163,224,37,17
26,StringTokenizer,205,224,176,24
27,line_,390,224,54,23
28,unknown_6,455,224,35,23
29,);,499,224,22,24
32,result,99,251,67,20
37,=,173,251,16,13
36,new,195,251,38,17
33,Arraylist,237,251,112,24
34,tok.countTokens(),357,251,186,24
35,);,553,251,22,24
38,whilel,97,305,68,24
39,tok,174,305,207,24
40,hasMoreTokens(),174,305,207,24
41,unknown_7,391,305,12,24
42,{,412,305,14,24
43,"result,add",142,332,120,24
44,tok,271,332,164,24
45,nextToken(),271,332,164,24
46,);,445,332,22,24
47,unknown_8,98,359,14,24
48,unknown_9,55,386,14,24
50,return,55,413,69,19
49,result;,131,413,77,23
51,unknown_10,11,440,15,24
