,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,testoneTwoThreecreateCycle(),141,35,305,24
3,throws,454,35,69,20
4,Exception,530,35,101,24
5,{,638,35,15,24
6,IRodinFile,55,62,112,20
10,ctx,173,62,38,19
11,=,216,62,16,13
7,createRodinFile,238,62,176,24
8,"""Plx.ctx""",423,62,99,20
9,);,532,62,21,24
12,createDependency(,54,89,187,24
15,"ctx,",249,89,44,22
13,"'y""",304,89,35,24
14,);,348,89,22,24
16,createData(,54,116,122,24
19,"ctx,",184,116,44,22
17,"""one""",239,116,56,20
18,);,305,116,21,24
20,"ctx,save",54,143,100,24
21,"null,",163,143,55,23
23,true,228,143,47,19
22,);,283,143,22,24
24,runBuilder();,55,170,142,24
25,IRodinFile,55,224,112,20
29,cty,173,224,38,23
30,=,216,224,16,13
26,createRodinFile,238,224,176,24
27,"""Ply.ctx""",423,224,99,24
28,);,532,224,21,24
31,createDependency(,54,251,187,24
34,"cty,",249,251,44,23
32,"Ix""",304,251,35,20
33,);,348,251,22,24
35,createData(,54,278,122,24
38,"cty,",184,278,44,23
36,"two""",239,278,56,20
37,);,305,278,21,24
39,cty.save,54,305,100,24
40,"null,",163,305,55,23
42,true,228,305,47,19
41,);,283,305,22,24
43,IRodinFile,55,359,112,20
47,ctz,173,359,37,19
48,=,216,359,16,13
44,createRodinFile,238,359,176,24
45,"""Plzctx""",423,359,99,20
46,);,532,359,21,24
49,createData(,54,386,122,24
52,"ctz,",184,386,44,22
50,"three""",239,386,78,20
51,);,327,386,21,24
53,"ctz,save",54,413,100,24
54,"null,",163,413,55,23
56,true,228,413,47,19
55,);,283,413,22,24
57,runBuilder,55,467,121,24
58,"""CSC",185,467,47,20
60,extract,238,467,80,19
59,"[Plx.ctx""",324,467,110,23
61,"""CSC",326,494,47,20
63,run,379,494,36,17
62,"[Plx.csc""",422,494,109,23
64,"""CSC",282,521,47,20
66,extract,335,521,80,19
65,"[Ply.ctx""",422,521,109,24
67,"""CSC",282,548,47,20
69,extract,335,548,80,19
68,"[Plz.ctx""",422,548,109,23
70,"""'CSC",315,575,47,20
72,run,369,575,35,17
71,"[Pz.csc"");",411,575,121,24
73,unknown_0,11,602,15,24
