,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,updateschema(,141,35,143,24
3,String,292,35,69,24
4,"kind,",369,35,54,23
5,SchemaTo,432,35,92,20
6,schemaTo,530,35,91,20
7,unknown_0,629,35,12,24
8,unknown_1,649,35,15,24
10,try,55,62,37,23
9,{,98,62,15,24
11,restTemplate.postForobject,99,89,293,24
12,baseURL,400,89,81,20
19,unknown_2,486,89,16,16
13,"""schemal""",509,89,100,20
20,unknown_3,616,89,16,16
14,kind,639,89,46,20
21,unknown_4,691,89,16,16
15,"Iupdate""",714,89,108,24
16,"schemaTo,",833,89,97,23
17,"SchemaTo,class",940,89,156,20
18,);,1104,89,22,24
22,unknown_5,55,116,14,24
23,catch,76,116,58,20
24,unknown_6,143,116,11,24
25,SyncopeclientcompositeErrorException,162,116,394,24
28,e,562,116,16,17
26,unknown_7,586,116,11,24
27,{,606,116,15,24
29,LOG.error,99,143,109,24
30,"""While",218,143,68,20
31,updating,292,143,91,24
34,a,389,143,16,17
35,user,411,143,47,17
32,"schema""",466,143,86,23
36,e,562,143,16,17
33,);,586,143,21,24
37,unknown_8,55,170,14,24
38,unknown_9,11,197,15,24
