word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
visitRetStmt(,visitRetstmt,140,35,144,24
RetStmt,Retstmt,292,35,80,19
stmt,stmt,379,35,47,19
),),435,35,11,24
{,{,455,35,14,24
Set,Set,54,62,37,19
targets,targets,98,62,80,23
=,=,184,62,16,13
new,new,206,62,38,17
LinkedHashSet();,LinkedHashSet();,250,62,174,24
Iterator,Iterator,55,89,90,19
iter,iter,152,89,47,20
=,=,205,89,16,13
"stmt.block(),",stmt.sub(),228,89,325,24
stmt.sub().paths().iterator();,"paths(),iterator();",228,89,325,24
while,while,53,143,60,20
(,(,121,143,12,24
iter,iter,141,143,154,24
iter.hasNext(),hasNext(),141,143,154,24
),),305,143,12,24
{,{,325,143,15,24
Block[],Block[],98,170,78,24
path,path,184,170,48,24
=,=,238,170,16,13
(,(,261,170,12,24
Block[]),Block[]),281,170,90,24
iter,iter,378,170,132,24
iter.next();,next();,378,170,132,24
targets.add(,targets.add(,98,197,132,24
path[,path[,238,197,58,24
1,1,303,197,16,19
1,1,326,197,12,24
);,);,348,197,22,24
},},55,224,14,24
targets.addAll(,targets.addAlI(,55,278,164,24
stmt.catchTargets(),stmt.catchTargets(),228,278,207,24
);,);,445,278,22,24
verifyTargets(,verifyTargets,54,305,154,24
"stmt.block(),","stmt.block(),",217,305,141,24
targets,targets,368,305,80,23
);,);,456,305,22,24
visitNode(,visitNode,54,332,111,24
stmt,stmt,174,332,46,19
);,);,229,332,22,24
},},11,359,15,24
