word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
documentLoadingCompleted,0,151,135,272,24,0.0786458333333333,0.125,0.1416666666666666,0.0222222222222222
SVGDocumentLoaderEvent,0,431,135,242,20,0.2244791666666666,0.125,0.1260416666666666,0.0185185185185185
e,0,680,135,16,17,0.3541666666666667,0.125,0.0083333333333333,0.0157407407407407
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
debug,0,118,162,59,24,0.0614583333333333,0.15,0.0307291666666666,0.0222222222222222
System.out.print,0,107,189,187,24,0.0557291666666666,0.175,0.0973958333333333,0.0222222222222222
"""Document",0,303,189,100,20,0.1578125,0.175,0.0520833333333333,0.0185185185185185
load,0,411,189,47,20,0.2140625,0.175,0.0244791666666666,0.0185185185185185
completed,0,464,189,102,24,0.2416666666666666,0.175,0.053125,0.0222222222222222
in,0,572,189,26,20,0.2979166666666666,0.175,0.0135416666666666,0.0185185185185185
"""",0,606,189,13,13,0.315625,0.175,0.0067708333333333,0.012037037037037
System.out.println,0,107,216,219,24,0.0557291666666666,0.2,0.1140625,0.0222222222222222
System.currentTimeMillis,0,334,216,284,24,0.1739583333333333,0.2,0.1479166666666666,0.0222222222222222
-,0,628,216,12,8,0.3270833333333333,0.2,0.00625,0.0074074074074074
time,0,648,216,48,20,0.3375,0.2,0.025,0.0185185185185185
+,0,723,216,16,16,0.3765625,0.2,0.0083333333333333,0.0148148148148148
"""",1,746,216,13,13,0.3885416666666667,0.2,0.0067708333333333,0.012037037037037
"ms""",0,766,216,36,20,0.3989583333333333,0.2,0.01875,0.0185185185185185
setSVGDocument,0,65,270,164,24,0.0338541666666666,0.25,0.0854166666666666,0.0222222222222222
e.getSVGDocument,0,237,270,207,24,0.1234375,0.25,0.1078125,0.0222222222222222
e.getSVGDocument().getURL,0,453,270,304,24,0.2359375,0.25,0.1583333333333333,0.0222222222222222
e.getSVGDocument().getTitle,0,766,270,317,24,0.3989583333333333,0.25,0.1651041666666666,0.0222222222222222
