word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
exit,0,151,135,56,24,0.0786458333333333,0.125,0.0291666666666666,0.0222222222222222
EventObject,0,216,135,122,24,0.1125,0.125,0.0635416666666666,0.0222222222222222
event,0,345,135,58,19,0.1796875,0.125,0.0302083333333333,0.0175925925925925
for,0,64,162,37,20,0.0333333333333333,0.15,0.0192708333333333,0.0185185185185185
ExitListener,0,129,162,134,20,0.0671875,0.15,0.0697916666666666,0.0185185185185185
listener,0,271,162,89,20,0.1411458333333333,0.15,0.0463541666666666,0.0185185185185185
:,0,370,162,9,17,0.1927083333333333,0.15,0.0046875,0.0157407407407407
exitListeners,0,388,162,145,20,0.2020833333333333,0.15,0.0755208333333333,0.0185185185185185
if,0,108,189,26,20,0.05625,0.175,0.0135416666666666,0.0185185185185185
!listener.canExit,0,165,189,194,24,0.0859375,0.175,0.1010416666666666,0.0222222222222222
event,1,367,189,58,19,0.1911458333333333,0.175,0.0302083333333333,0.0175925925925925
return,0,152,217,76,22,0.0791666666666666,0.2009259259259259,0.0395833333333333,0.0203703703703703
try,0,65,297,37,23,0.0338541666666666,0.275,0.0192708333333333,0.0212962962962962
for,1,108,324,36,20,0.05625,0.3,0.01875,0.0185185185185185
ExitListener,1,173,324,133,20,0.0901041666666666,0.3,0.0692708333333333,0.0185185185185185
listener,1,314,324,90,20,0.1635416666666666,0.3,0.046875,0.0185185185185185
:,1,413,324,9,17,0.2151041666666666,0.3,0.0046875,0.0157407407407407
exitListeners,1,432,324,144,20,0.225,0.3,0.075,0.0185185185185185
try,1,151,351,37,23,0.0786458333333333,0.325,0.0192708333333333,0.0212962962962962
listener,2,195,378,196,24,0.1015625,0.35,0.1020833333333333,0.0222222222222222
listener.willExit,0,195,378,196,24,0.1015625,0.35,0.1020833333333333,0.0222222222222222
event,2,399,378,58,19,0.2078125,0.35,0.0302083333333333,0.0175925925925925
catch,0,172,405,59,20,0.0895833333333333,0.375,0.0307291666666666,0.0185185185185185
Exception,0,259,405,101,24,0.1348958333333333,0.375,0.0526041666666666,0.0222222222222222
e,0,367,405,16,17,0.1911458333333333,0.375,0.0083333333333333,0.0157407407407407
logger.,0,195,432,76,24,0.1015625,0.4,0.0395833333333333,0.0222222222222222
log,0,271,432,44,24,0.1411458333333333,0.4,0.0229166666666666,0.0222222222222222
Level.WARNING,0,325,432,151,23,0.1692708333333333,0.4,0.0786458333333333,0.0212962962962962
ExitListener.willExit,0,487,432,261,24,0.2536458333333333,0.4,0.1359375,0.0222222222222222
"failed""",0,756,432,87,23,0.39375,0.4,0.0453125,0.0212962962962962
e,1,853,432,16,17,0.4442708333333333,0.4,0.0083333333333333,0.0157407407407407
shutdown,0,108,513,120,24,0.05625,0.475,0.0625,0.0222222222222222
catch,1,86,540,58,20,0.0447916666666666,0.5,0.0302083333333333,0.0185185185185185
Exception,1,173,540,101,24,0.0901041666666666,0.5,0.0526041666666666,0.0222222222222222
e,2,280,540,16,17,0.1458333333333333,0.5,0.0083333333333333,0.0157407407407407
logger.,1,109,567,76,24,0.0567708333333333,0.525,0.0395833333333333,0.0222222222222222
log,1,184,567,45,24,0.0958333333333333,0.525,0.0234375,0.0222222222222222
Level.WARNING,1,238,567,152,23,0.1239583333333333,0.525,0.0791666666666666,0.0212962962962962
"""unexpected",0,400,567,122,24,0.2083333333333333,0.525,0.0635416666666666,0.0222222222222222
error,0,529,567,58,17,0.2755208333333333,0.525,0.0302083333333333,0.0157407407407407
in,0,594,567,26,20,0.309375,0.525,0.0135416666666666,0.0185185185185185
"Application.shutdown()""",0,625,567,261,24,0.3255208333333333,0.525,0.1359375,0.0222222222222222
e,3,896,567,16,17,0.4666666666666667,0.525,0.0083333333333333,0.0157407407407407
finally,0,64,621,81,24,0.0333333333333333,0.575,0.0421875,0.0222222222222222
end,0,108,648,66,24,0.05625,0.6,0.034375,0.0222222222222222
