word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
init,0,162,135,67,24,0.084375,0.125,0.0348958333333333,0.0222222222222222
_innerData,0,63,162,115,22,0.0328125,0.15,0.0598958333333333,0.0203703703703703
=,0,183,162,16,13,0.0953125,0.15,0.0083333333333333,0.012037037037037
Collections.synchronizedMap,0,205,162,305,24,0.1067708333333333,0.15,0.1588541666666666,0.0222222222222222
new,0,519,162,37,17,0.2703125,0.15,0.0192708333333333,0.0157407407407407
LinkedHashMap<,0,562,162,155,24,0.2927083333333333,0.15,0.0807291666666666,0.0222222222222222
String,0,723,162,77,24,0.3765625,0.15,0.0401041666666666,0.0222222222222222
Object,0,809,162,69,24,0.4213541666666666,0.15,0.0359375,0.0222222222222222
>,0,885,162,36,24,0.4609375,0.15,0.01875,0.0222222222222222
Iterator<,0,65,189,102,19,0.0338541666666666,0.175,0.053125,0.0175925925925925
Entry,0,173,189,59,23,0.0901041666666666,0.175,0.0307291666666666,0.0212962962962962
<,0,237,189,16,16,0.1234375,0.175,0.0083333333333333,0.0148148148148148
String,1,259,189,77,24,0.1348958333333333,0.175,0.0401041666666666,0.0222222222222222
Object,1,345,189,69,24,0.1796875,0.175,0.0359375,0.0222222222222222
>>,0,421,189,26,16,0.2192708333333333,0.175,0.0135416666666666,0.0148148148148148
itr,0,453,189,37,20,0.2359375,0.175,0.0192708333333333,0.0185185185185185
=,1,496,189,16,13,0.2583333333333333,0.175,0.0083333333333333,0.012037037037037
_srcModel.entrySet().iterator,0,517,189,349,24,0.2692708333333333,0.175,0.1817708333333333,0.0222222222222222
while,0,63,243,69,24,0.0328125,0.225,0.0359375,0.0222222222222222
itr.hasNext,0,140,243,143,24,0.0729166666666666,0.225,0.0744791666666666,0.0222222222222222
Entry<,0,108,270,69,23,0.05625,0.25,0.0359375,0.0212962962962962
String,2,183,270,77,24,0.0953125,0.25,0.0401041666666666,0.0222222222222222
Object,2,269,270,69,24,0.1401041666666666,0.25,0.0359375,0.0222222222222222
>,1,345,270,16,16,0.1796875,0.25,0.0083333333333333,0.0148148148148148
entry,0,367,270,59,23,0.1911458333333333,0.25,0.0307291666666666,0.0212962962962962
=,2,431,270,16,13,0.2244791666666666,0.25,0.0083333333333333,0.012037037037037
itr.next,0,453,270,121,24,0.2359375,0.25,0.0630208333333333,0.0222222222222222
_innerData.put,0,106,297,166,24,0.0552083333333333,0.275,0.0864583333333333,0.0222222222222222
entry.getKey,0,280,297,164,24,0.1458333333333333,0.275,0.0854166666666666,0.0222222222222222
entry.getValue,0,453,297,176,24,0.2359375,0.275,0.0916666666666666,0.0222222222222222
_srcListener,0,63,351,135,22,0.0328125,0.325,0.0703125,0.0203703703703703
=,3,205,351,16,13,0.1067708333333333,0.325,0.0083333333333333,0.012037037037037
new,1,227,351,37,17,0.1182291666666666,0.325,0.0192708333333333,0.0157407407407407
ListDataListener,0,271,351,209,24,0.1411458333333333,0.325,0.1088541666666666,0.0222222222222222
public,0,108,378,69,24,0.05625,0.35,0.0359375,0.0222222222222222
void,1,183,378,48,20,0.0953125,0.35,0.025,0.0185185185185185
onChange,0,237,378,100,24,0.1234375,0.35,0.0520833333333333,0.0222222222222222
ListDataEvent,0,346,378,144,20,0.1802083333333333,0.35,0.075,0.0185185185185185
event,0,496,378,58,19,0.2583333333333333,0.35,0.0302083333333333,0.0175925925925925
onListDataChange,0,108,405,186,24,0.05625,0.375,0.096875,0.0222222222222222
event,1,302,405,58,19,0.1572916666666666,0.375,0.0302083333333333,0.0175925925925925
};	,0,65,459,23,24,0.0338541666666666,0.425,0.0119791666666666,0.0222222222222222
_srcModel.addListDataListener,0,63,486,328,24,0.0328125,0.45,0.1708333333333333,0.0222222222222222
_srcListener,1,398,486,135,22,0.2072916666666666,0.45,0.0703125,0.0203703703703703
