word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
boolean,0,97,135,80,20,0.0505208333333333,0.125,0.0416666666666666,0.0185185185185185
isInvalidEmailLink,0,183,135,219,24,0.0953125,0.125,0.1140625,0.0222222222222222
return,0,65,162,69,19,0.0338541666666666,0.15,0.0359375,0.0175925925925925
textLink.contains,0,140,162,197,24,0.0729166666666666,0.15,0.1026041666666666,0.0222222222222222
ArticleLink.EMAIL_AT_SEPARATOR,0,344,162,330,22,0.1791666666666666,0.15,0.171875,0.0203703703703703
&&,0,701,162,28,19,0.3651041666666667,0.15,0.0145833333333333,0.0175925925925925
!textLink.toLowerCase,0,111,189,237,24,0.0578125,0.175,0.1234375,0.0222222222222222
Locale.getDefault()).startsWith,0,357,189,347,24,0.1859375,0.175,0.1807291666666666,0.0222222222222222
"""mailto:""",0,714,189,99,20,0.371875,0.175,0.0515625,0.0185185185185185
&&,1,841,189,28,19,0.4380208333333333,0.175,0.0145833333333333,0.0175925925925925
//$NON-NLS-1$,0,874,189,146,22,0.4552083333333333,0.175,0.0760416666666666,0.0203703703703703
wikiFileURL.getWikiFileName,0,107,216,306,24,0.0557291666666666,0.2,0.159375,0.0222222222222222
true,0,421,216,48,19,0.2192708333333333,0.2,0.025,0.0175925925925925
).contains,0,477,216,119,24,0.2484375,0.2,0.0619791666666666,0.0222222222222222
ArticleLink.EMAIL_AT_SEPARATOR,1,603,216,331,22,0.3140625,0.2,0.1723958333333333,0.0203703703703703
