word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
jbInit,0,162,135,89,24,0.084375,0.125,0.0463541666666666,0.0222222222222222
throws,0,259,135,69,20,0.1348958333333333,0.125,0.0359375,0.0185185185185185
Exception,0,335,135,101,24,0.1744791666666666,0.125,0.0526041666666666,0.0222222222222222
setLayout,0,65,162,110,24,0.0338541666666666,0.15,0.0572916666666666,0.0222222222222222
new,0,184,162,37,17,0.0958333333333333,0.15,0.0192708333333333,0.0157407407407407
GridBagLayout,0,226,162,165,24,0.1177083333333333,0.15,0.0859375,0.0222222222222222
add,0,64,216,46,24,0.0333333333333333,0.2,0.0239583333333333,0.0222222222222222
m_environmentpanel,0,118,216,207,24,0.0614583333333333,0.2,0.1078125,0.0222222222222222
new,1,108,243,38,17,0.05625,0.225,0.0197916666666666,0.0157407407407407
GridBagConstraints,0,151,243,208,24,0.0786458333333333,0.225,0.1083333333333333,0.0222222222222222
0,0,367,243,23,22,0.1911458333333333,0.225,0.0119791666666666,0.0203703703703703
0,1,399,243,23,22,0.2078125,0.225,0.0119791666666666,0.0203703703703703
1,0,432,243,22,22,0.225,0.225,0.0114583333333333,0.0203703703703703
1,1,464,243,23,22,0.2416666666666666,0.225,0.0119791666666666,0.0203703703703703
1.0,0,496,243,45,22,0.2583333333333333,0.225,0.0234375,0.0203703703703703
1.0,1,550,243,45,22,0.2864583333333333,0.225,0.0234375,0.0203703703703703
GridBagConstraints.CENTER,0,302,270,282,24,0.1572916666666666,0.25,0.146875,0.0222222222222222
GridBagConstraints.HORIZONTAL,0,302,297,325,24,0.1572916666666666,0.275,0.1692708333333333,0.0222222222222222
new,2,302,324,38,17,0.1572916666666666,0.3,0.0197916666666666,0.0157407407407407
Insets,0,346,324,78,24,0.1802083333333333,0.3,0.040625,0.0222222222222222
0,2,432,324,22,22,0.225,0.3,0.0114583333333333,0.0203703703703703
0,3,464,324,23,22,0.2416666666666666,0.3,0.0119791666666666,0.0203703703703703
0,4,496,324,23,22,0.2583333333333333,0.3,0.0119791666666666,0.0203703703703703
0,5,529,324,16,19,0.2755208333333333,0.3,0.0083333333333333,0.0175925925925925
0,6,583,324,23,22,0.3036458333333333,0.3,0.0119791666666666,0.0203703703703703
0,7,615,324,16,19,0.3203125,0.3,0.0083333333333333,0.0175925925925925
