word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
setButtonText,0,162,135,165,24,0.084375,0.125,0.0859375,0.0222222222222222
String,0,64,162,70,24,0.0333333333333333,0.15,0.0364583333333333,0.0222222222222222
txt,0,140,162,36,19,0.0729166666666666,0.15,0.01875,0.0175925925925925
=,0,183,162,16,13,0.0953125,0.15,0.0083333333333333,0.012037037037037
menuItem.getTitle,0,205,162,208,24,0.1067708333333333,0.15,0.1083333333333333,0.0222222222222222
+,0,421,162,16,16,0.2192708333333333,0.15,0.0083333333333333,0.0148148148148148
"""",0,444,162,13,13,0.23125,0.15,0.0067708333333333,0.012037037037037
"(""",0,466,162,23,24,0.2427083333333333,0.15,0.0119791666666666,0.0222222222222222
+,1,496,162,16,16,0.2583333333333333,0.15,0.0083333333333333,0.0148148148148148
menuItem.getStock,0,518,162,208,24,0.2697916666666666,0.15,0.1083333333333333,0.0222222222222222
+,2,734,162,16,16,0.3822916666666666,0.15,0.0083333333333333,0.0148148148148148
"""",1,757,162,13,13,0.3942708333333333,0.15,0.0067708333333333,0.012037037037037
in,0,777,162,26,20,0.4046875,0.15,0.0135416666666666,0.0185185185185185
"Stock)""",0,809,162,89,24,0.4213541666666666,0.15,0.0463541666666666,0.0222222222222222
try,0,65,189,37,23,0.0338541666666666,0.175,0.0192708333333333,0.0212962962962962
Course,0,107,216,70,19,0.0557291666666666,0.2,0.0364583333333333,0.0175925925925925
tmpCourse,0,184,216,101,23,0.0958333333333333,0.2,0.0526041666666666,0.0212962962962962
=,1,291,216,16,13,0.1515625,0.2,0.0083333333333333,0.012037037037037
Course,1,334,216,70,19,0.1739583333333333,0.2,0.0364583333333333,0.0175925925925925
)menuItem,0,412,216,108,24,0.2145833333333333,0.2,0.05625,0.0222222222222222
if,0,108,270,26,20,0.05625,0.25,0.0135416666666666,0.0185185185185185
tmpCourse.getCourseType,0,162,270,273,24,0.084375,0.25,0.1421875,0.0222222222222222
==,0,442,270,27,13,0.2302083333333333,0.25,0.0140625,0.012037037037037
Course.FIRST_COURSE,0,475,270,210,21,0.2473958333333333,0.25,0.109375,0.0194444444444444
txt,1,151,297,36,19,0.0786458333333333,0.275,0.01875,0.0175925925925925
=,2,194,297,16,13,0.1010416666666666,0.275,0.0083333333333333,0.012037037037037
"""1st:",0,217,297,54,20,0.1130208333333333,0.275,0.028125,0.0185185185185185
"""",2,282,297,13,13,0.146875,0.275,0.0067708333333333,0.012037037037037
+,3,302,297,16,16,0.1572916666666666,0.275,0.0083333333333333,0.0148148148148148
txt,2,324,297,45,22,0.16875,0.275,0.0234375,0.0203703703703703
else,0,129,324,48,20,0.0671875,0.3,0.025,0.0185185185185185
txt,3,151,351,36,19,0.0786458333333333,0.325,0.01875,0.0175925925925925
=,3,194,351,16,13,0.1010416666666666,0.325,0.0083333333333333,0.012037037037037
"""2nd:",0,217,351,54,20,0.1130208333333333,0.325,0.028125,0.0185185185185185
"""",3,282,351,13,13,0.146875,0.325,0.0067708333333333,0.012037037037037
+,4,302,351,16,16,0.1572916666666666,0.325,0.0083333333333333,0.0148148148148148
txt,4,324,351,45,22,0.16875,0.325,0.0234375,0.0203703703703703
catch,0,86,405,58,20,0.0447916666666666,0.375,0.0302083333333333,0.0185185185185185
Exception,0,173,405,101,24,0.0901041666666666,0.375,0.0526041666666666,0.0222222222222222
e,0,280,405,16,17,0.1458333333333333,0.375,0.0083333333333333,0.0157407407407407
//,0,108,432,26,20,0.05625,0.4,0.0135416666666666,0.0185185185185185
TODO:,0,139,432,57,19,0.0723958333333333,0.4,0.0296875,0.0175925925925925
handle,0,205,432,70,20,0.1067708333333333,0.4,0.0364583333333333,0.0185185185185185
exception,0,280,432,102,24,0.1458333333333333,0.4,0.053125,0.0222222222222222
this.setText,0,65,486,142,24,0.0338541666666666,0.45,0.0739583333333333,0.0222222222222222
txt,5,216,486,36,19,0.1125,0.45,0.01875,0.0175925925925925
