word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
int,0,97,135,36,20,0.0505208333333333,0.125,0.01875,0.0185185185185185
setSecurityMode,0,141,135,166,24,0.0734375,0.125,0.0864583333333333,0.0222222222222222
int,1,334,135,37,20,0.1739583333333333,0.125,0.0192708333333333,0.0185185185185185
level,0,379,135,65,23,0.1973958333333333,0.125,0.0338541666666666,0.0212962962962962
String,0,453,135,69,24,0.2359375,0.125,0.0359375,0.0222222222222222
authToken,0,529,135,101,20,0.2755208333333333,0.125,0.0526041666666666,0.0185185185185185
throws,0,659,135,69,20,0.3432291666666666,0.125,0.0359375,0.0185185185185185
RemoteException,0,734,135,167,24,0.3822916666666666,0.125,0.0869791666666666,0.0222222222222222
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
!this.authToken.equals,0,122,162,247,24,0.0635416666666666,0.15,0.1286458333333333,0.0222222222222222
authToken,1,378,162,101,20,0.196875,0.15,0.0526041666666666,0.0185185185185185
throw,0,108,189,59,20,0.05625,0.175,0.0307291666666666,0.0185185185185185
new,0,173,189,37,17,0.0901041666666666,0.175,0.0192708333333333,0.0157407407407407
RemoteException,1,216,189,175,24,0.1125,0.175,0.0911458333333333,0.0222222222222222
"""Invalid",0,400,189,90,20,0.2083333333333333,0.175,0.046875,0.0185185185185185
Login,0,497,189,58,24,0.2588541666666666,0.175,0.0302083333333333,0.0222222222222222
"Token""",0,561,189,68,20,0.2921875,0.175,0.0354166666666666,0.0185185185185185
ServerSettingBean.setSecureMode,0,64,243,349,24,0.0333333333333333,0.225,0.1817708333333333,0.0222222222222222
"""""",0,422,243,24,13,0.2197916666666666,0.225,0.0125,0.012037037037037
+,0,453,243,16,16,0.2359375,0.225,0.0083333333333333,0.0148148148148148
level,1,476,243,58,20,0.2479166666666666,0.225,0.0302083333333333,0.0185185185185185
serverSettingBean.updateSettings,0,65,270,379,24,0.0338541666666666,0.25,0.1973958333333333,0.0222222222222222
securityMode,0,65,297,134,24,0.0338541666666666,0.275,0.0697916666666666,0.0222222222222222
=,0,205,297,16,13,0.1067708333333333,0.275,0.0083333333333333,0.012037037037037
level,2,228,297,65,23,0.11875,0.275,0.0338541666666666,0.0212962962962962
return,0,65,324,69,19,0.0338541666666666,0.3,0.0359375,0.0175925925925925
securityMode,1,141,324,141,24,0.0734375,0.3,0.0734375,0.0222222222222222
