word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
testSetExample,0,151,135,176,24,0.0786458333333333,0.125,0.0916666666666666,0.0222222222222222
System.out.println,0,64,162,208,24,0.0333333333333333,0.15,0.1083333333333333,0.0222222222222222
"""testSetExample""",0,282,162,175,24,0.146875,0.15,0.0911458333333333,0.0222222222222222
testString,0,65,189,112,24,0.0338541666666666,0.175,0.0583333333333333,0.0222222222222222
=,0,183,189,16,13,0.0953125,0.175,0.0083333333333333,0.012037037037037
"""<tag:foo>|n""",0,206,189,152,24,0.1072916666666666,0.175,0.0791666666666666,0.0222222222222222
testString,1,65,216,112,24,0.0338541666666666,0.2,0.0583333333333333,0.0222222222222222
+=,0,183,216,27,16,0.0953125,0.2,0.0140625,0.0148148148148148
"""|t<tag:bar",0,217,216,122,24,0.1130208333333333,0.2,0.0635416666666666,0.0222222222222222
"/>""",0,345,216,45,23,0.1796875,0.2,0.0234375,0.0212962962962962
testString,2,65,243,112,24,0.0338541666666666,0.225,0.0583333333333333,0.0222222222222222
+=,1,183,243,27,16,0.0953125,0.225,0.0140625,0.0148148148148148
"""</tag:foo>""",0,217,243,141,24,0.1130208333333333,0.225,0.0734375,0.0222222222222222
tag.setExample,0,65,270,164,24,0.0338541666666666,0.25,0.0854166666666666,0.0222222222222222
testString,3,238,270,112,24,0.1239583333333333,0.25,0.0583333333333333,0.0222222222222222
assertEquals,0,64,297,143,24,0.0333333333333333,0.275,0.0744791666666666,0.0222222222222222
tag.getExample,0,216,297,184,24,0.1125,0.275,0.0958333333333333,0.0222222222222222
testString,4,411,297,111,24,0.2140625,0.275,0.0578125,0.0222222222222222
