word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
actionLoadNotes,0,162,135,186,24,0.084375,0.125,0.096875,0.0222222222222222
enableUserActions,0,64,162,197,24,0.0333333333333333,0.15,0.1026041666666666,0.0222222222222222
false,0,270,162,59,20,0.140625,0.15,0.0307291666666666,0.0185185185185185
//,0,64,216,27,20,0.0333333333333333,0.2,0.0140625,0.0185185185185185
set,0,97,216,36,19,0.0505208333333333,0.2,0.01875,0.0175925925925925
focus,0,140,216,66,23,0.0729166666666666,0.2,0.034375,0.0212962962962962
otherwise,0,216,216,102,20,0.1125,0.2,0.053125,0.0185185185185185
it,0,324,216,25,20,0.16875,0.2,0.0130208333333333,0.0185185185185185
gives,0,356,216,58,24,0.1854166666666666,0.2,0.0302083333333333,0.0222222222222222
focus,1,421,216,58,20,0.2192708333333333,0.2,0.0302083333333333,0.0185185185185185
to,0,486,216,26,19,0.253125,0.2,0.0135416666666666,0.0175925925925925
"""clear""",0,519,216,78,20,0.2703125,0.2,0.040625,0.0185185185185185
>>,0,604,216,27,16,0.3145833333333333,0.2,0.0140625,0.0148148148148148
scary/not,0,638,216,100,24,0.3322916666666666,0.2,0.0520833333333333,0.0222222222222222
wanted,0,744,216,70,20,0.3875,0.2,0.0364583333333333,0.0185185185185185
multiSubmitButton,0,64,243,199,24,0.03333333333333333,0.225,0.10364583333333334,0.0222222222222222
requestFocusInWindow,0,263,243,234,24,0.13697916666666668,0.225,0.121875,0.0222222222222222
resetSingleTextFields,0,65,297,261,24,0.0338541666666666,0.275,0.1359375,0.0222222222222222
multipleGUIList,0,64,324,180,24,0.03333333333333333,0.3,0.09375,0.0222222222222222
clearSelection,0,244,324,168,24,0.12708333333333333,0.3,0.0875,0.0222222222222222
multipleResources,0,64,351,188,24,0.0333333333333333,0.325,0.0979166666666666,0.0222222222222222
=,0,259,351,16,13,0.1348958333333333,0.325,0.0083333333333333,0.012037037037037
loadNotesFile,0,282,351,173,24,0.146875,0.325,0.0901041666666666,0.0222222222222222
updateMultiList,0,65,378,196,24,0.0338541666666666,0.35,0.1020833333333333,0.0222222222222222
enableUserActions,1,64,405,197,24,0.0333333333333333,0.375,0.1026041666666666,0.0222222222222222
true,0,270,405,48,19,0.140625,0.375,0.025,0.0175925925925925
