word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
deleteCascade,0,151,135,154,24,0.0786458333333333,0.125,0.0802083333333333,0.0222222222222222
VyhladavaciAlgoritmus,0,312,135,232,24,0.1625,0.125,0.1208333333333333,0.0222222222222222
algorithm,0,550,135,103,24,0.2864583333333333,0.125,0.0536458333333333,0.0222222222222222
//searcheds,0,64,162,124,20,0.0333333333333333,0.15,0.0645833333333333,0.0185185185185185
getHibernateTemplate(),0,64,189,247,24,0.03333333333333333,0.175,0.12864583333333332,0.0222222222222222
bulkUpdate,0,311,189,112,24,0.16197916666666667,0.175,0.058333333333333334,0.0222222222222222
"""DELETE",0,109,216,79,20,0.0567708333333333,0.2,0.0411458333333333,0.0185185185185185
Searched,0,194,216,91,20,0.1010416666666666,0.2,0.0473958333333333,0.0185185185185185
WHERE,0,290,216,60,19,0.1510416666666666,0.2,0.03125,0.0175925925925925
algorithm,1,356,216,102,24,0.1854166666666666,0.2,0.053125,0.0222222222222222
=,0,464,216,16,13,0.2416666666666666,0.2,0.0083333333333333,0.012037037037037
"?""",0,486,216,33,23,0.253125,0.2,0.0171875,0.0212962962962962
new,0,389,243,37,17,0.2026041666666666,0.225,0.0192708333333333,0.0157407407407407
Object[],0,431,243,89,24,0.2244791666666666,0.225,0.0463541666666666,0.0222222222222222
algorithm,2,550,243,103,24,0.2864583333333333,0.225,0.0536458333333333,0.0222222222222222
//plans,0,64,270,80,24,0.0333333333333333,0.25,0.0416666666666666,0.0222222222222222
getHibernateTemplate(),1,64,297,247,24,0.03333333333333333,0.275,0.12864583333333332,0.0222222222222222
bulkUpdate,1,311,297,112,24,0.16197916666666667,0.275,0.058333333333333334,0.0222222222222222
"""DELETE",1,109,324,79,20,0.0567708333333333,0.3,0.0411458333333333,0.0185185185185185
SearchPlan,0,194,324,112,20,0.1010416666666666,0.3,0.0583333333333333,0.0185185185185185
WHERE,1,312,324,60,19,0.1625,0.3,0.03125,0.0175925925925925
algorithm,3,378,324,102,24,0.196875,0.3,0.053125,0.0222222222222222
=,1,485,324,16,13,0.2526041666666667,0.3,0.0083333333333333,0.012037037037037
"?""",1,507,324,34,23,0.2640625,0.3,0.0177083333333333,0.0212962962962962
new,1,335,351,37,17,0.1744791666666666,0.325,0.0192708333333333,0.0157407407407407
Object[],1,377,351,89,24,0.1963541666666666,0.325,0.0463541666666666,0.0222222222222222
algorithm,4,496,351,103,24,0.2583333333333333,0.325,0.0536458333333333,0.0222222222222222
//prefs,0,64,378,80,24,0.0333333333333333,0.35,0.0416666666666666,0.0222222222222222
getHibernateTemplate(),2,64,405,247,24,0.03333333333333333,0.375,0.12864583333333332,0.0222222222222222
bulkUpdate,2,311,405,112,24,0.16197916666666667,0.375,0.058333333333333334,0.0222222222222222
"""DELETE",2,109,432,79,20,0.0567708333333333,0.4,0.0411458333333333,0.0185185185185185
SearchPrefs,0,194,432,123,20,0.1010416666666666,0.4,0.0640625,0.0185185185185185
WHERE,2,323,432,60,19,0.1682291666666666,0.4,0.03125,0.0175925925925925
algorithm,5,388,432,103,24,0.2020833333333333,0.4,0.0536458333333333,0.0222222222222222
=,2,496,432,16,13,0.2583333333333333,0.4,0.0083333333333333,0.012037037037037
"?""",2,518,432,34,23,0.2697916666666666,0.4,0.0177083333333333,0.0212962962962962
new,2,346,459,37,17,0.1802083333333333,0.425,0.0192708333333333,0.0157407407407407
Object[],2,388,459,89,24,0.2020833333333333,0.425,0.0463541666666666,0.0222222222222222
algorithm,6,507,459,103,24,0.2640625,0.425,0.0536458333333333,0.0222222222222222
//categories,0,64,486,134,24,0.0333333333333333,0.45,0.0697916666666666,0.0222222222222222
getHibernateTemplate(),3,64,513,247,24,0.03333333333333333,0.475,0.12864583333333332,0.0222222222222222
bulkUpdate,3,311,513,112,24,0.16197916666666667,0.475,0.058333333333333334,0.0222222222222222
"""DELETE",3,109,540,79,20,0.0567708333333333,0.5,0.0411458333333333,0.0185185185185185
SearchCategory,0,194,540,156,24,0.1010416666666666,0.5,0.08125,0.0222222222222222
WHERE,3,355,540,60,19,0.1848958333333333,0.5,0.03125,0.0175925925925925
algorithm,7,421,540,102,24,0.2192708333333333,0.5,0.053125,0.0222222222222222
=,3,529,540,16,13,0.2755208333333333,0.5,0.0083333333333333,0.012037037037037
"?""",3,550,540,34,23,0.2864583333333333,0.5,0.0177083333333333,0.0212962962962962
new,3,410,567,38,17,0.2135416666666666,0.525,0.0197916666666666,0.0157407407407407
Object[],3,453,567,89,24,0.2359375,0.525,0.0463541666666666,0.0222222222222222
algorithm,8,572,567,102,24,0.2979166666666666,0.525,0.053125,0.0222222222222222
delete,0,64,594,79,24,0.0333333333333333,0.55,0.0411458333333333,0.0222222222222222
algorithm,9,151,594,102,24,0.0786458333333333,0.55,0.053125,0.0222222222222222
