word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
go,0,151,135,35,24,0.0786458333333333,0.125,0.0182291666666666,0.0222222222222222
String,0,194,135,69,24,0.1010416666666666,0.125,0.0359375,0.0222222222222222
theUserName,0,270,135,123,20,0.140625,0.125,0.0640625,0.0185185185185185
try,0,65,162,37,23,0.0338541666666666,0.15,0.0192708333333333,0.0212962962962962
new,0,108,189,38,17,0.05625,0.175,0.0197916666666666,0.0157407407407407
ChatUI,0,151,189,89,24,0.0786458333333333,0.175,0.0463541666666666,0.0222222222222222
MessageInputReceiver,0,248,189,220,24,0.1291666666666666,0.175,0.1145833333333333,0.0222222222222222
this,0,497,189,55,23,0.2588541666666666,0.175,0.0286458333333333,0.0212962962962962
theUserName,1,562,189,123,20,0.2927083333333333,0.175,0.0640625,0.0185185185185185
//,0,108,216,26,20,0.05625,0.2,0.0135416666666666,0.0185185185185185
shake,0,141,216,58,20,0.0734375,0.2,0.0302083333333333,0.0185185185185185
hands,0,205,216,58,20,0.1067708333333333,0.2,0.0302083333333333,0.0185185185185185
writer,0,107,243,71,24,0.05572916666666667,0.225,0.03697916666666667,0.0222222222222222
println,0,178,243,82,24,0.09270833333333334,0.225,0.042708333333333334,0.0222222222222222
theUserName,2,281,243,123,20,0.1463541666666666,0.225,0.0640625,0.0185185185185185
writer,1,107,270,82,24,0.05572916666666667,0.25,0.042708333333333334,0.0222222222222222
flush,0,189,270,69,24,0.0984375,0.25,0.0359375,0.0222222222222222
//,1,108,297,26,20,0.05625,0.275,0.0135416666666666,0.0185185185185185
OK,0,140,297,27,19,0.0729166666666666,0.275,0.0140625,0.0175925925925925
means,0,172,297,59,17,0.0895833333333333,0.275,0.0307291666666666,0.0157407407407407
init,0,237,297,47,20,0.1234375,0.275,0.0244791666666666,0.0185185185185185
with,0,290,297,49,20,0.1510416666666666,0.275,0.0255208333333333,0.0185185185185185
server,0,346,297,68,17,0.1802083333333333,0.275,0.0354166666666666,0.0157407407407407
went,0,420,297,48,19,0.21875,0.275,0.025,0.0175925925925925
well,0,474,297,49,20,0.246875,0.275,0.0255208333333333,0.0185185185185185
if,0,108,351,26,20,0.05625,0.325,0.0135416666666666,0.0185185185185185
reader,0,163,351,68,24,0.08489583333333334,0.325,0.035416666666666666,0.0222222222222222
readLine(),0,231,351,113,24,0.1203125,0.325,0.058854166666666666,0.0222222222222222
equals,0,344,351,68,24,0.17916666666666667,0.325,0.035416666666666666,0.0222222222222222
"""OK""",0,444,351,45,20,0.23125,0.325,0.0234375,0.0185185185185185
initialized,0,151,378,123,20,0.0786458333333333,0.35,0.0640625,0.0185185185185185
=,0,280,378,16,13,0.1458333333333333,0.35,0.0083333333333333,0.012037037037037
true,0,302,378,56,22,0.1572916666666666,0.35,0.0291666666666666,0.0203703703703703
readChat,0,152,405,120,24,0.0791666666666666,0.375,0.0625,0.0222222222222222
else,0,129,432,48,20,0.0671875,0.4,0.025,0.0185185185185185
bailOut,0,151,459,89,24,0.0786458333333333,0.425,0.0463541666666666,0.0222222222222222
new,1,248,459,38,17,0.1291666666666666,0.425,0.0197916666666666,0.0157407407407407
IOException,0,292,459,131,24,0.1520833333333333,0.425,0.0682291666666666,0.0222222222222222
"""handshake",0,433,459,112,20,0.2255208333333333,0.425,0.0583333333333333,0.0185185185185185
"failed""",0,550,459,79,20,0.2864583333333333,0.425,0.0411458333333333,0.0185185185185185
catch,0,86,513,58,20,0.0447916666666666,0.475,0.0302083333333333,0.0185185185185185
IOException,1,173,513,123,24,0.0901041666666666,0.475,0.0640625,0.0222222222222222
ioe,0,302,513,37,20,0.1572916666666666,0.475,0.0192708333333333,0.0185185185185185
bailOut,1,108,540,89,24,0.05625,0.5,0.0463541666666666,0.0222222222222222
ioe,1,205,540,37,20,0.1067708333333333,0.5,0.0192708333333333,0.0185185185185185
catch,1,86,567,58,20,0.0447916666666666,0.525,0.0302083333333333,0.0185185185185185
Exception,0,173,567,101,24,0.0901041666666666,0.525,0.0526041666666666,0.0222222222222222
e,0,280,567,16,17,0.1458333333333333,0.525,0.0083333333333333,0.0157407407407407
bailOut,2,108,594,89,24,0.05625,0.55,0.0463541666666666,0.0222222222222222
e,1,205,594,16,17,0.1067708333333333,0.55,0.0083333333333333,0.0157407407407407
