word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
int,0,108,135,36,20,0.05625,0.125,0.01875,0.0185185185185185
handleHalt,0,151,135,132,24,0.0786458333333333,0.125,0.06875,0.0222222222222222
//need,0,64,162,70,20,0.0333333333333333,0.15,0.0364583333333333,0.0185185185185185
to,0,140,162,27,19,0.0729166666666666,0.15,0.0140625,0.0175925925925925
test,0,173,162,47,19,0.0901041666666666,0.15,0.0244791666666666,0.0175925925925925
that,0,227,162,47,20,0.1182291666666666,0.15,0.0244791666666666,0.0185185185185185
this,0,281,162,47,20,0.1463541666666666,0.15,0.0244791666666666,0.0185185185185185
is,0,334,162,26,20,0.1739583333333333,0.15,0.0135416666666666,0.0185185185185185
the,0,367,162,37,20,0.1911458333333333,0.15,0.0192708333333333,0.0185185185185185
root,0,411,162,46,19,0.2140625,0.15,0.0239583333333333,0.0175925925925925
process,0,465,162,79,21,0.2421875,0.15,0.0411458333333333,0.0194444444444444
if,0,64,189,35,24,0.0333333333333333,0.175,0.0182291666666666,0.0222222222222222
processID,0,108,189,102,23,0.05625,0.175,0.053125,0.0212962962962962
==,0,215,189,27,13,0.1119791666666666,0.175,0.0140625,0.012037037037037
0,0,248,189,16,19,0.1291666666666666,0.175,0.0083333333333333,0.0175925925925925
Machine,0,108,216,96,24,0.05625,0.2,0.05,0.0222222222222222
halt,0,204,216,55,24,0.10625,0.2,0.028645833333333332,0.0222222222222222
else,0,86,243,59,24,0.0447916666666666,0.225,0.0307291666666666,0.0222222222222222
//System,0,108,270,92,24,0.05625,0.25,0.04791666666666667,0.0222222222222222
err,0,200,270,34,24,0.10416666666666667,0.25,0.017708333333333333,0.0222222222222222
println,0,234,270,80,24,0.121875,0.25,0.041666666666666664,0.0222222222222222
"""non-root",0,346,270,100,20,0.1802083333333333,0.25,0.0520833333333333,0.0185185185185185
process,1,454,270,79,21,0.2364583333333333,0.25,0.0411458333333333,0.0194444444444444
trying,0,540,270,69,24,0.28125,0.25,0.0359375,0.0222222222222222
to,1,616,270,26,19,0.3208333333333333,0.25,0.0135416666666666,0.0175925925925925
call,0,648,270,48,20,0.3375,0.25,0.025,0.0185185185185185
"halt""",0,702,270,57,20,0.365625,0.25,0.0296875,0.0185185185185185
return,0,109,297,68,19,0.0567708333333333,0.275,0.0354166666666666,0.0175925925925925
-1,0,185,297,33,22,0.0963541666666666,0.275,0.0171875,0.0203703703703703
//This,0,226,297,70,20,0.1177083333333333,0.275,0.0364583333333333,0.0185185185185185
is,1,302,297,26,20,0.1572916666666666,0.275,0.0135416666666666,0.0185185185185185
not,0,335,297,36,19,0.1744791666666666,0.275,0.01875,0.0175925925925925
the,1,378,297,37,20,0.196875,0.275,0.0192708333333333,0.0185185185185185
root,1,422,297,46,19,0.2197916666666666,0.275,0.0239583333333333,0.0175925925925925
process,2,475,297,80,21,0.2473958333333333,0.275,0.0416666666666666,0.0194444444444444
so,0,562,297,26,17,0.2927083333333333,0.275,0.0135416666666666,0.0157407407407407
ignore,0,594,297,69,24,0.309375,0.275,0.0359375,0.0222222222222222
this,1,670,297,47,20,0.3489583333333333,0.275,0.0244791666666666,0.0185185185185185
one,0,723,297,38,17,0.3765625,0.275,0.0197916666666666,0.0157407407407407
Lib,0,65,351,34,24,0.033854166666666664,0.325,0.017708333333333333,0.0222222222222222
assertNotReached,0,99,351,183,24,0.0515625,0.325,0.0953125,0.0222222222222222
"""Machine",0,303,351,101,24,0.1578125,0.325,0.05260416666666667,0.0222222222222222
halt,1,404,351,50,24,0.21041666666666667,0.325,0.026041666666666668,0.0222222222222222
did,0,475,351,37,20,0.2473958333333333,0.325,0.0192708333333333,0.0185185185185185
not,0,519,351,35,19,0.2703125,0.325,0.0182291666666666,0.0175925925925925
halt,2,562,351,46,20,0.2927083333333333,0.325,0.0239583333333333,0.0185185185185185
"machine!""",0,615,351,101,20,0.3203125,0.325,0.0526041666666666,0.0185185185185185
return,1,65,379,69,19,0.0338541666666666,0.3509259259259259,0.0359375,0.0175925925925925
0,1,140,379,24,22,0.0729166666666666,0.3509259259259259,0.0125,0.0203703703703703
