word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
markStart,0,150,135,111,24,0.078125,0.125,0.0578125,0.0222222222222222
Object,0,269,135,69,24,0.1401041666666666,0.125,0.0359375,0.0222222222222222
tag,0,346,135,36,23,0.1802083333333333,0.125,0.01875,0.0212962962962962
synchronized,0,65,162,133,24,0.0338541666666666,0.15,0.0692708333333333,0.0222222222222222
pair2startTimeMap,0,227,162,188,24,0.1182291666666666,0.15,0.0979166666666666,0.0222222222222222
pair2startTimeMap,1,108,189,194,24,0.05625,0.175,0.10104166666666667,0.0222222222222222
put,0,302,189,34,24,0.15729166666666666,0.175,0.017708333333333333,0.0222222222222222
tag,1,356,189,44,23,0.1854166666666666,0.175,0.0229166666666666,0.0212962962962962
clock,0,410,189,60,24,0.21354166666666666,0.175,0.03125,0.0222222222222222
getCurrentTime,0,470,189,169,24,0.24479166666666666,0.175,0.08802083333333334,0.0222222222222222
//,0,108,216,26,20,0.05625,0.2,0.0135416666666666,0.0185185185185185
FIXME,0,140,216,59,19,0.0729166666666666,0.2,0.0307291666666666,0.0175925925925925
it,0,205,216,25,20,0.1067708333333333,0.2,0.0130208333333333,0.0185185185185185
probably,0,238,216,91,24,0.1239583333333333,0.2,0.0473958333333333,0.0222222222222222
makes,0,334,216,59,20,0.1739583333333333,0.2,0.0307291666666666,0.0185185185185185
more,0,399,216,48,17,0.2078125,0.2,0.025,0.0157407407407407
sense,0,454,216,58,17,0.2364583333333333,0.2,0.0302083333333333,0.0157407407407407
to,0,519,216,26,19,0.2703125,0.2,0.0135416666666666,0.0175925925925925
run,0,551,216,36,17,0.2869791666666667,0.2,0.01875,0.0157407407407407
the,0,594,216,37,20,0.309375,0.2,0.0192708333333333,0.0185185185185185
garbage,0,637,216,80,24,0.3317708333333333,0.2,0.0416666666666666,0.0222222222222222
collection,0,723,216,113,20,0.3765625,0.2,0.0588541666666666,0.0185185185185185
//,1,108,243,26,20,0.05625,0.225,0.0135416666666666,0.0185185185185185
periodically,0,140,243,135,24,0.0729166666666666,0.225,0.0703125,0.0222222222222222
instead,0,280,243,80,20,0.1458333333333333,0.225,0.0416666666666666,0.0185185185185185
of,0,367,243,26,20,0.1911458333333333,0.225,0.0135416666666666,0.0185185185185185
allocating,0,399,243,113,24,0.2078125,0.225,0.0588541666666666,0.0222222222222222
the,1,519,243,36,20,0.2703125,0.225,0.01875,0.0185185185185185
timer,0,562,243,58,20,0.2927083333333333,0.225,0.0302083333333333,0.0185185185185185
every,0,626,243,59,21,0.3260416666666667,0.225,0.0307291666666666,0.0194444444444444
time,0,691,243,48,20,0.3598958333333333,0.225,0.025,0.0185185185185185
Timer,0,107,270,59,20,0.0557291666666666,0.25,0.0307291666666666,0.0185185185185185
removalTimer,0,173,270,133,20,0.0901041666666666,0.25,0.0692708333333333,0.0185185185185185
=,0,313,270,16,13,0.1630208333333333,0.25,0.0083333333333333,0.012037037037037
clock,1,334,270,63,24,0.17395833333333333,0.25,0.0328125,0.0222222222222222
createNewTimer,0,397,270,176,24,0.20677083333333332,0.25,0.09166666666666666,0.0222222222222222
removalTimer,1,109,297,325,24,0.0567708333333333,0.275,0.1692708333333333,0.0222222222222222
removalTimer,2,109,297,134,24,0.05677083333333333,0.275,0.06979166666666667,0.0222222222222222
addTimerListener,0,243,297,179,24,0.1265625,0.275,0.09322916666666667,0.0222222222222222
new,0,443,297,38,17,0.2307291666666666,0.275,0.0197916666666666,0.0157407407407407
GarbageCollectionTimerListener,0,485,297,338,24,0.2526041666666667,0.275,0.1760416666666666,0.0222222222222222
tag,2,832,297,36,23,0.4333333333333333,0.275,0.01875,0.0212962962962962
removalTimer,3,109,324,137,24,0.05677083333333333,0.3,0.07135416666666666,0.0222222222222222
schedule,0,246,324,91,24,0.128125,0.3,0.04739583333333333,0.0222222222222222
Time,0,355,324,46,24,0.18489583333333334,0.3,0.023958333333333335,0.0222222222222222
inMilliseconds,0,401,324,162,24,0.20885416666666667,0.3,0.084375,0.0222222222222222
maxWait,0,583,324,79,20,0.3036458333333333,0.3,0.0411458333333333,0.0185185185185185
