word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
moveUpTarget,0,150,135,144,24,0.078125,0.125,0.075,0.0222222222222222
int,0,302,135,36,20,0.1572916666666666,0.125,0.01875,0.0185185185185185
index,0,345,135,59,20,0.1796875,0.125,0.0307291666666666,0.0185185185185185
Object,0,64,162,69,24,0.0333333333333333,0.15,0.0359375,0.0222222222222222
target=,0,140,162,81,23,0.0729166666666666,0.15,0.0421875,0.0212962962962962
targets,0,227,162,84,24,0.11822916666666666,0.15,0.04375,0.0222222222222222
get,0,311,162,36,24,0.16197916666666667,0.15,0.01875,0.0222222222222222
index,1,367,162,59,20,0.1911458333333333,0.15,0.0307291666666666,0.0185185185185185
if,0,64,216,27,20,0.0333333333333333,0.2,0.0140625,0.0185185185185185
index,2,118,216,59,20,0.0614583333333333,0.2,0.0307291666666666,0.0185185185185185
==,0,183,216,27,13,0.0953125,0.2,0.0140625,0.012037037037037
0,0,216,216,15,19,0.1125,0.2,0.0078125,0.0175925925925925
||,0,241,216,18,24,0.1255208333333333,0.2,0.009375,0.0222222222222222
target,0,270,216,68,23,0.140625,0.2,0.0354166666666666,0.0212962962962962
==,1,345,216,27,13,0.1796875,0.2,0.0140625,0.012037037037037
null,0,378,216,48,20,0.196875,0.2,0.025,0.0185185185185185
return,0,109,244,76,22,0.0567708333333333,0.2259259259259259,0.0395833333333333,0.0203703703703703
targets,1,65,297,84,24,0.033854166666666664,0.275,0.04375,0.0222222222222222
set,0,149,297,36,24,0.07760416666666667,0.275,0.01875,0.0222222222222222
index,3,205,297,66,23,0.1067708333333333,0.275,0.034375,0.0212962962962962
targets,2,281,297,84,24,0.14635416666666667,0.275,0.04375,0.0222222222222222
get,1,365,297,36,24,0.19010416666666666,0.275,0.01875,0.0222222222222222
index,4,421,297,59,20,0.2192708333333333,0.275,0.0307291666666666,0.0185185185185185
-,0,487,297,13,8,0.2536458333333333,0.275,0.0067708333333333,0.0074074074074074
1,0,507,297,16,19,0.2640625,0.275,0.0083333333333333,0.0175925925925925
targets,3,65,317,84,24,0.033854166666666664,0.2935185185185185,0.04375,0.0222222222222222
set,1,149,317,36,24,0.07760416666666667,0.2935185185185185,0.01875,0.0222222222222222
index,5,205,317,59,20,0.1067708333333333,0.2935185185185185,0.0307291666666666,0.0185185185185185
-,1,271,317,13,8,0.1411458333333333,0.2935185185185185,0.0067708333333333,0.0074074074074074
1,1,291,317,23,22,0.1515625,0.2935185185185185,0.0119791666666666,0.0203703703703703
target,1,324,317,68,23,0.16875,0.2935185185185185,0.0354166666666666,0.0212962962962962
log,0,66,337,36,24,0.034375,0.312037037037037,0.01875,0.0222222222222222
debug,0,102,337,61,24,0.053125,0.312037037037037,0.03177083333333333,0.0222222222222222
"""New",0,184,337,48,20,0.0958333333333333,0.312037037037037,0.025,0.0185185185185185
"ordering""",0,237,337,101,24,0.1234375,0.312037037037037,0.0526041666666666,0.0222222222222222
for,0,64,405,37,20,0.0333333333333333,0.375,0.0192708333333333,0.0185185185185185
int,1,129,405,37,20,0.0671875,0.375,0.0192708333333333,0.0185185185185185
i,0,172,405,16,20,0.0895833333333333,0.375,0.0083333333333333,0.0185185185185185
=,0,194,405,16,13,0.1010416666666666,0.375,0.0083333333333333,0.012037037037037
0,1,216,405,23,22,0.1125,0.375,0.0119791666666666,0.0203703703703703
i,1,248,405,16,20,0.1291666666666666,0.375,0.0083333333333333,0.0185185185185185
<,0,269,405,16,16,0.1401041666666666,0.375,0.0083333333333333,0.0148148148148148
targets,4,292,405,95,24,0.15208333333333332,0.375,0.049479166666666664,0.0222222222222222
size,0,387,405,54,24,0.2015625,0.375,0.028125,0.0222222222222222
i++,0,464,405,37,20,0.2416666666666666,0.375,0.0192708333333333,0.0185185185185185
log,1,109,432,36,24,0.05677083333333333,0.4,0.01875,0.0222222222222222
debug,1,145,432,61,24,0.07552083333333333,0.4,0.03177083333333333,0.0222222222222222
"""|t""",0,228,432,45,24,0.11875,0.4,0.0234375,0.0222222222222222
+,0,280,432,16,16,0.1458333333333333,0.4,0.0083333333333333,0.0148148148148148
i,2,302,432,16,20,0.1572916666666666,0.4,0.0083333333333333,0.0185185185185185
+,1,323,432,16,16,0.1682291666666666,0.4,0.0083333333333333,0.0148148148148148
targets,5,346,432,84,24,0.18020833333333333,0.4,0.04375,0.0222222222222222
get,2,430,432,36,24,0.22395833333333334,0.4,0.01875,0.0222222222222222
i,3,486,432,16,20,0.253125,0.4,0.0083333333333333,0.0185185185185185
