word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
removeService,0,152,135,153,24,0.0791666666666666,0.125,0.0796875,0.0222222222222222
String,0,313,135,69,24,0.1630208333333333,0.125,0.0359375,0.0222222222222222
type,0,389,135,48,23,0.2026041666666666,0.125,0.025,0.0212962962962962
CService,0,64,162,92,20,0.0333333333333333,0.15,0.0479166666666666,0.0185185185185185
service,0,162,162,80,20,0.084375,0.15,0.0416666666666666,0.0185185185185185
=,0,248,162,16,13,0.1291666666666666,0.15,0.0083333333333333,0.012037037037037
CService,1,291,162,92,20,0.1515625,0.15,0.0479166666666666,0.0185185185185185
services,0,411,162,95,24,0.2140625,0.15,0.049479166666666664,0.0222222222222222
get,0,506,162,36,24,0.2635416666666667,0.15,0.01875,0.0222222222222222
type,1,562,162,47,23,0.2927083333333333,0.15,0.0244791666666666,0.0212962962962962
if,0,64,216,27,20,0.0333333333333333,0.2,0.0140625,0.0185185185185185
service,1,119,216,80,20,0.0619791666666666,0.2,0.0416666666666666,0.0185185185185185
!=,0,208,216,23,19,0.1083333333333333,0.2,0.0119791666666666,0.0175925925925925
null,0,238,216,47,20,0.1239583333333333,0.2,0.0244791666666666,0.0185185185185185
service,2,108,243,88,24,0.05625,0.225,0.04583333333333333,0.0222222222222222
unsetContext,0,196,243,150,24,0.10208333333333333,0.225,0.078125,0.0222222222222222
services,1,108,270,93,24,0.05625,0.25,0.0484375,0.0222222222222222
remove,0,201,270,70,24,0.1046875,0.25,0.036458333333333336,0.0222222222222222
type,2,292,270,47,23,0.1520833333333333,0.25,0.0244791666666666,0.0212962962962962
fireServiceChanged,0,108,297,207,24,0.05625,0.275,0.1078125,0.0222222222222222
new,0,324,297,38,17,0.16875,0.275,0.0197916666666666,0.0157407407407407
CServiceEvent,0,367,297,154,24,0.1911458333333333,0.275,0.0802083333333333,0.0222222222222222
this,0,529,297,55,23,0.2755208333333333,0.275,0.0286458333333333,0.0212962962962962
service,3,594,297,87,23,0.309375,0.275,0.0453125,0.0212962962962962
CServiceEvent,1,691,297,144,20,0.35989583333333336,0.275,0.075,0.0185185185185185
REMOVED,0,835,297,77,20,0.4348958333333333,0.275,0.04010416666666667,0.0185185185185185
