word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
swapItems,0,151,135,110,24,0.0786458333333333,0.125,0.0572916666666666,0.0222222222222222
int,0,270,135,36,20,0.140625,0.125,0.01875,0.0185185185185185
index,0,313,135,66,23,0.1630208333333333,0.125,0.034375,0.0212962962962962
int,1,388,135,37,20,0.2020833333333333,0.125,0.0192708333333333,0.0185185185185185
change,0,432,135,69,24,0.225,0.125,0.0359375,0.0222222222222222
if,0,64,162,35,24,0.0333333333333333,0.15,0.0182291666666666,0.0222222222222222
index,1,108,162,59,20,0.05625,0.15,0.0307291666666666,0.0185185185185185
>=,0,172,162,27,16,0.0895833333333333,0.15,0.0140625,0.0148148148148148
0,0,205,162,16,19,0.1067708333333333,0.15,0.0083333333333333,0.0175925925925925
&&,0,226,162,28,19,0.1177083333333333,0.15,0.0145833333333333,0.0175925925925925
index,2,259,162,59,20,0.1348958333333333,0.15,0.0307291666666666,0.0185185185185185
<,0,323,162,16,16,0.1682291666666666,0.15,0.0083333333333333,0.0148148148148148
allItems,0,345,162,88,20,0.1796875,0.15,0.04583333333333333,0.0185185185185185
length,0,444,162,68,24,0.23125,0.15,0.0354166666666666,0.0222222222222222
&&,1,517,162,28,19,0.2692708333333333,0.15,0.0145833333333333,0.0175925925925925
change,1,550,162,70,24,0.2864583333333333,0.15,0.0364583333333333,0.0222222222222222
>=,1,626,162,27,16,0.3260416666666667,0.15,0.0140625,0.0148148148148148
0,1,658,162,16,19,0.3427083333333333,0.15,0.0083333333333333,0.0175925925925925
&&,2,679,162,28,19,0.3536458333333333,0.15,0.0145833333333333,0.0175925925925925
change,2,712,162,70,24,0.3708333333333333,0.15,0.0364583333333333,0.0222222222222222
<,1,788,162,16,16,0.4104166666666666,0.15,0.0083333333333333,0.0148148148148148
allItems,1,810,162,88,20,0.421875,0.15,0.04583333333333333,0.0185185185185185
length,1,908,162,68,24,0.4729166666666666,0.15,0.0354166666666666,0.0222222222222222
MenuItem,0,108,189,91,19,0.05625,0.175,0.0473958333333333,0.0175925925925925
temp,0,205,189,48,23,0.1067708333333333,0.175,0.025,0.0212962962962962
=,0,259,189,16,13,0.1348958333333333,0.175,0.0083333333333333,0.012037037037037
allItems,2,280,189,101,24,0.1458333333333333,0.175,0.0526041666666666,0.0222222222222222
index,3,388,189,59,20,0.2020833333333333,0.175,0.0307291666666666,0.0185185185185185
allItems,3,108,216,100,24,0.05625,0.2,0.0520833333333333,0.0222222222222222
index,4,216,216,59,20,0.1125,0.2,0.0307291666666666,0.0185185185185185
=,1,302,216,16,13,0.1572916666666666,0.2,0.0083333333333333,0.012037037037037
allItems,4,324,216,100,24,0.16875,0.2,0.0520833333333333,0.0222222222222222
change,3,432,216,69,24,0.225,0.2,0.0359375,0.0222222222222222
allItems,5,108,243,100,24,0.05625,0.225,0.0520833333333333,0.0222222222222222
change,4,216,243,69,24,0.1125,0.225,0.0359375,0.0222222222222222
=,2,313,243,16,13,0.1630208333333333,0.225,0.0083333333333333,0.012037037037037
temp,1,335,243,55,23,0.1744791666666666,0.225,0.0286458333333333,0.0212962962962962
