word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
testOneTwoThreeCreateCycle,0,151,135,305,24,0.0786458333333333,0.125,0.1588541666666666,0.0222222222222222
throws,0,464,135,69,20,0.2416666666666666,0.125,0.0359375,0.0185185185185185
Exception,0,540,135,101,24,0.28125,0.125,0.0526041666666666,0.0222222222222222
IRodinFile,0,65,162,112,20,0.0338541666666666,0.15,0.0583333333333333,0.0185185185185185
ctx,0,183,162,38,19,0.0953125,0.15,0.0197916666666666,0.0175925925925925
=,0,226,162,16,13,0.1177083333333333,0.15,0.0083333333333333,0.012037037037037
createRodinFile,0,248,162,176,24,0.1291666666666666,0.15,0.0916666666666666,0.0222222222222222
"""P/x",0,433,162,44,20,0.22552083333333334,0.15,0.022916666666666665,0.0185185185185185
"ctx""",0,488.0,162,44,20,0.25416666666666665,0.15,0.022916666666666665,0.0185185185185185
createDependency,0,64,189,187,24,0.0333333333333333,0.175,0.0973958333333333,0.0222222222222222
ctx,1,259,189,44,22,0.1348958333333333,0.175,0.0229166666666666,0.0203703703703703
"""y""",0,314,189,35,24,0.1635416666666666,0.175,0.0182291666666666,0.0222222222222222
createData,0,64,216,122,24,0.0333333333333333,0.2,0.0635416666666666,0.0222222222222222
ctx,2,194,216,44,22,0.1010416666666666,0.2,0.0229166666666666,0.0203703703703703
"""one""",0,249,216,56,20,0.1296875,0.2,0.0291666666666666,0.0185185185185185
ctx,3,64,243,38,24,0.03333333333333333,0.225,0.019791666666666666,0.0222222222222222
save,0,114.5,243,50,24,0.05963541666666667,0.225,0.026041666666666668,0.0222222222222222
null,0,173,243,55,23,0.0901041666666666,0.225,0.0286458333333333,0.0212962962962962
true,0,238,243,47,19,0.1239583333333333,0.225,0.0244791666666666,0.0175925925925925
runBuilder,0,65,270,142,24,0.0338541666666666,0.25,0.0739583333333333,0.0222222222222222
IRodinFile,1,65,324,112,20,0.0338541666666666,0.3,0.0583333333333333,0.0185185185185185
cty,0,183,324,38,23,0.0953125,0.3,0.0197916666666666,0.0212962962962962
=,1,226,324,16,13,0.1177083333333333,0.3,0.0083333333333333,0.012037037037037
createRodinFile,1,248,324,176,24,0.1291666666666666,0.3,0.0916666666666666,0.0222222222222222
"""P/y",0,433,324,44,24,0.22552083333333334,0.3,0.022916666666666665,0.0222222222222222
"ctx""",1,488.0,324,44,24,0.25416666666666665,0.3,0.022916666666666665,0.0222222222222222
createDependency,1,64,351,187,24,0.0333333333333333,0.325,0.0973958333333333,0.0222222222222222
cty,1,259,351,44,23,0.1348958333333333,0.325,0.0229166666666666,0.0212962962962962
"""x""",0,314,351,35,20,0.1635416666666666,0.325,0.0182291666666666,0.0185185185185185
createData,1,64,378,122,24,0.0333333333333333,0.35,0.0635416666666666,0.0222222222222222
cty,2,194,378,44,23,0.1010416666666666,0.35,0.0229166666666666,0.0212962962962962
"""two""",0,249,378,56,20,0.1296875,0.35,0.0291666666666666,0.0185185185185185
cty,3,64,405,38,24,0.03333333333333333,0.375,0.019791666666666666,0.0222222222222222
save,1,114.5,405,50,24,0.05963541666666667,0.375,0.026041666666666668,0.0222222222222222
null,1,173,405,55,23,0.0901041666666666,0.375,0.0286458333333333,0.0212962962962962
true,1,238,405,47,19,0.1239583333333333,0.375,0.0244791666666666,0.0175925925925925
IRodinFile,2,65,459,112,20,0.0338541666666666,0.425,0.0583333333333333,0.0185185185185185
ctz,0,183,459,37,19,0.0953125,0.425,0.0192708333333333,0.0175925925925925
=,2,226,459,16,13,0.1177083333333333,0.425,0.0083333333333333,0.012037037037037
createRodinFile,2,248,459,176,24,0.1291666666666666,0.425,0.0916666666666666,0.0222222222222222
"""P/z",0,433,459,44,20,0.22552083333333334,0.425,0.022916666666666665,0.0185185185185185
"ctx""",2,488.0,459,44,20,0.25416666666666665,0.425,0.022916666666666665,0.0185185185185185
createData,2,64,486,122,24,0.0333333333333333,0.45,0.0635416666666666,0.0222222222222222
ctz,1,194,486,44,22,0.1010416666666666,0.45,0.0229166666666666,0.0203703703703703
"""three""",0,249,486,78,20,0.1296875,0.45,0.040625,0.0185185185185185
ctz,2,64,513,38,24,0.03333333333333333,0.475,0.019791666666666666,0.0222222222222222
save,2,114.5,513,50,24,0.05963541666666667,0.475,0.026041666666666668,0.0222222222222222
null,2,173,513,55,23,0.0901041666666666,0.475,0.0286458333333333,0.0212962962962962
true,2,238,513,47,19,0.1239583333333333,0.475,0.0244791666666666,0.0175925925925925
runBuilder,1,65,567,121,24,0.0338541666666666,0.525,0.0630208333333333,0.0222222222222222
"""CSC",0,195,567,47,20,0.1015625,0.525,0.0244791666666666,0.0185185185185185
extract,0,248,567,80,19,0.1291666666666666,0.525,0.0416666666666666,0.0175925925925925
"""P/x",1,334,567,49,23,0.17395833333333333,0.525,0.025520833333333333,0.0212962962962962
"ctx""",3,395.22222222222223,567,49,23,0.2058449074074074,0.525,0.025520833333333333,0.0212962962962962
"""CSC",1,336,594,47,20,0.175,0.55,0.0244791666666666,0.0185185185185185
run,0,389,594,36,17,0.2026041666666666,0.55,0.01875,0.0157407407407407
/P/x,0,432,594,48,23,0.225,0.55,0.025,0.0212962962962962
"csc""",0,492.1111111111111,594,48,23,0.25630787037037034,0.55,0.025,0.0212962962962962
"""CSC",2,292,621,47,20,0.1520833333333333,0.575,0.0244791666666666,0.0185185185185185
extract,1,345,621,80,19,0.1796875,0.575,0.0416666666666666,0.0175925925925925
"""P/y",1,432,621,48,24,0.225,0.575,0.025,0.0222222222222222
"ctx""",4,492.1111111111111,621,48,24,0.25630787037037034,0.575,0.025,0.0222222222222222
"""CSC",3,292,648,47,20,0.1520833333333333,0.6,0.0244791666666666,0.0185185185185185
extract,2,345,648,80,19,0.1796875,0.6,0.0416666666666666,0.0175925925925925
"""P/z",1,432,648,48,23,0.225,0.6,0.025,0.0212962962962962
"ctx""",5,492.1111111111111,648,48,23,0.25630787037037034,0.6,0.025,0.0212962962962962
"""CSC",4,325,675,47,20,0.1692708333333333,0.625,0.0244791666666666,0.0185185185185185
run,1,379,675,35,17,0.1973958333333333,0.625,0.0182291666666666,0.0157407407407407
/P/z,0,421,675,54,24,0.21927083333333333,0.625,0.028125,0.0222222222222222
"csc""",1,488.44444444444446,675,54,24,0.25439814814814815,0.625,0.028125,0.0222222222222222
