word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
BFSdist,0,,151,135,89,24,0.078645833,0.125,0.046354167,0.022222222
Node,0,,248,135,48,20,0.129166667,0.125,0.025,0.018518519
n,0,,302,135,23,20,0.157291667,0.125,0.011979167,0.018518519
Vector,0,,333,135,71,19,0.1734375,0.125,0.036979167,0.017592593
ToDo,0,,409,135,56,22,0.213020833,0.125,0.029166667,0.02037037
int,0,int[],475,135,56,24,0.247395833,0.125,0.029166667,0.022222222
indirConn,0,,540,135,101,20,0.28125,0.125,0.052604167,0.018518519
Node,1,,65,162,47,20,0.033854167,0.15,0.024479167,0.018518519
n2,0,,119,162,26,19,0.061979167,0.15,0.013541667,0.017592593
=,0,,151,162,16,13,0.078645833,0.15,0.008333333,0.012037037
null,0,,173,162,55,23,0.090104167,0.15,0.028645833,0.021296296
for,0,,64,189,37,20,0.033333333,0.175,0.019270833,0.018518519
Enumeration,0,,129,189,123,20,0.0671875,0.175,0.0640625,0.018518519
es,0,,259,189,26,17,0.134895833,0.175,0.013541667,0.015740741
=,1,,291,189,16,13,0.1515625,0.175,0.008333333,0.012037037
n,1,,313,189,12,24,0.163020833,0.175,0.00625,0.022222222
adjEdges,0,,325,189,97,24,0.169270833,0.175,0.050520833,0.022222222
elements,0,,422,189,97,24,0.219791667,0.175,0.050520833,0.022222222
es,1,,572,189,25,24,0.297916667,0.175,0.013020833,0.022222222
hasMoreElements,0,,597,189,191,24,0.3109375,0.175,0.099479167,0.022222222
n2,1,,108,216,26,19,0.05625,0.2,0.013541667,0.017592593
=,2,,140,216,16,13,0.072916667,0.2,0.008333333,0.012037037
n,2,,162,216,13,24,0.084375,0.2,0.006770833,0.022222222
adjNode,0,,175,216,94,24,0.091145833,0.2,0.048958333,0.022222222
Edge,0,,291,216,48,24,0.1515625,0.2,0.025,0.022222222
es,2,)es,347,216,41,24,0.180729167,0.2,0.021354167,0.022222222
nextElement,0,,388,216,150,24,0.202083333,0.2,0.078125,0.022222222
if,0,,108,243,26,20,0.05625,0.225,0.013541667,0.018518519
n2,2,,162,243,23,20,0.084375,0.225,0.011979167,0.018518519
dist,0,,185,243,45,20,0.096354167,0.225,0.0234375,0.018518519
<,0,,248,243,16,15,0.129166667,0.225,0.008333333,0.013888889
0,0,,270,243,15,19,0.140625,0.225,0.0078125,0.017592593
n2,3,,151,270,23,20,0.078645833,0.25,0.011979167,0.018518519
dist,1,,174,270,45,20,0.090625,0.25,0.0234375,0.018518519
=,3,,237,270,16,13,0.1234375,0.25,0.008333333,0.012037037
n,3,,259,270,12,20,0.134895833,0.25,0.00625,0.018518519
dist,2,,271,270,46,20,0.141145833,0.25,0.023958333,0.018518519
+,0,,334,270,16,16,0.173958333,0.25,0.008333333,0.014814815
1,0,,356,270,24,22,0.185416667,0.25,0.0125,0.02037037
indirConn,1,,151,297,111,24,0.078645833,0.275,0.0578125,0.022222222
n2,4,,270,297,23,20,0.140625,0.275,0.011979167,0.018518519
dist,3,,293,297,45,20,0.152604167,0.275,0.0234375,0.018518519
++,0,]++,357,297,44,24,0.1859375,0.275,0.022916667,0.022222222
//,200,,151,351,26,20,0.078645833,0.325,0.013541667,0.018518519
important,200,,183,351,101,24,0.0953125,0.325,0.052604167,0.022222222
add,200,,291,351,37,20,0.1515625,0.325,0.019270833,0.018518519
adds,200,,334,351,48,20,0.173958333,0.325,0.025,0.018518519
to,200,,389,351,26,19,0.202604167,0.325,0.013541667,0.017592593
the,200,,421,351,37,20,0.219270833,0.325,0.019270833,0.018518519
end,200,,464,351,37,20,0.241666667,0.325,0.019270833,0.018518519
of,200,,507,351,27,20,0.2640625,0.325,0.0140625,0.018518519
the,200,,540,351,37,20,0.28125,0.325,0.019270833,0.018518519
list,200,,584,351,46,20,0.304166667,0.325,0.023958333,0.018518519
ToDo,1,,150,378,50,24,0.078125,0.35,0.026041667,0.022222222
add,0,,200,378,38,24,0.104166667,0.35,0.019791667,0.022222222
n2,5,,259,378,26,19,0.134895833,0.35,0.013541667,0.017592593
if,1,,64,459,27,20,0.033333333,0.425,0.0140625,0.018518519
ToDo,2,!ToDo,122,459,62,24,0.063541667,0.425,0.032291667,0.022222222
isEmpty,0,,184,459,87,24,0.095833333,0.425,0.0453125,0.022222222
n2,6,,108,486,26,19,0.05625,0.45,0.013541667,0.017592593
=,4,,140,486,16,13,0.072916667,0.45,0.008333333,0.012037037
Node,2,,183,486,48,20,0.0953125,0.45,0.025,0.018518519
ToDo,3,,258,486,48,24,0.134375,0.45,0.025,0.022222222
remove,0,,306,486,73,24,0.159375,0.45,0.038020833,0.022222222
0,1,,399,486,16,19,0.2078125,0.45,0.008333333,0.017592593
BFSdist,1,,108,513,89,24,0.05625,0.475,0.046354167,0.022222222
n2,7,,205,513,33,22,0.106770833,0.475,0.0171875,0.02037037
ToDo,4,,247,513,56,22,0.128645833,0.475,0.029166667,0.02037037
indirConn,2,,313,513,101,20,0.163020833,0.475,0.052604167,0.018518519
