word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Map,0,,97,135,37,23,0.050520833,0.125,0.019270833,0.021296296
asMap,0,,140,135,79,24,0.072916667,0.125,0.041145833,0.022222222
Map,1,,64,162,37,23,0.033333333,0.15,0.019270833,0.021296296
map,0,,107,162,38,21,0.055729167,0.15,0.019791667,0.019444444
=,0,,151,162,16,13,0.078645833,0.15,0.008333333,0.012037037
new,0,,173,162,37,17,0.090104167,0.15,0.019270833,0.015740741
HashMap,0,,216,162,110,24,0.1125,0.15,0.057291667,0.022222222
//,200,,64,189,27,20,0.033333333,0.175,0.0140625,0.018518519
map,200,,96,189,34,23,0.05,0.175,0.017708333,0.021296296
put,200,,130,189,34,23,0.067708333,0.175,0.017708333,0.021296296
"""org_id""",200,,206,189,97,24,0.107291667,0.175,0.050520833,0.022222222
org_id,200,,313,189,69,24,0.163020833,0.175,0.0359375,0.022222222
map,1,,64,216,38,24,0.033333333,0.2,0.019791667,0.022222222
put,0,,102,216,38,24,0.053125,0.2,0.019791667,0.022222222
"""startDate""",0,,163,216,129,23,0.084895833,0.2,0.0671875,0.021296296
start_date,0,,303,216,112,22,0.1578125,0.2,0.058333333,0.02037037
map,2,,64,243,38,24,0.033333333,0.225,0.019791667,0.022222222
put,1,,102,243,38,24,0.053125,0.225,0.019791667,0.022222222
"""endDate""",0,,163,243,108,23,0.084895833,0.225,0.05625,0.021296296
end_date,0,,280,243,92,22,0.145833333,0.225,0.047916667,0.02037037
if,0,,64,297,27,20,0.033333333,0.275,0.0140625,0.018518519
this,0,,119,297,44,24,0.061979167,0.275,0.022916667,0.022222222
organization,0,,163,297,132,24,0.084895833,0.275,0.06875,0.022222222
!=,0,,316,297,23,19,0.164583333,0.275,0.011979167,0.017592593
null,0,,346,297,47,20,0.180208333,0.275,0.024479167,0.018518519
map,3,,107,324,39,24,0.055729167,0.3,0.0203125,0.022222222
put,2,,146,324,39,24,0.076041667,0.3,0.0203125,0.022222222
"""organization""",0,,206,324,162,24,0.107291667,0.3,0.084375,0.022222222
this,1,,378,324,44,24,0.196875,0.3,0.022916667,0.022222222
organization,1,,422,324,132,24,0.219791667,0.3,0.06875,0.022222222
acronym,0,,554,324,77,24,0.288541667,0.3,0.040104167,0.022222222
map,4,,64,351,38,24,0.033333333,0.325,0.019791667,0.022222222
put,3,,102,351,38,24,0.053125,0.325,0.019791667,0.022222222
"""type""",0,,163,351,75,24,0.084895833,0.325,0.0390625,0.022222222
this,2,,270,351,50,24,0.140625,0.325,0.026041667,0.022222222
isVisitor,0,,320,351,112,24,0.166666667,0.325,0.058333333,0.022222222
?,0,,453,351,16,19,0.2359375,0.325,0.008333333,0.017592593
"""Visitor""",0,,476,351,99,20,0.247916667,0.325,0.0515625,0.018518519
:,0,,586,351,9,17,0.305208333,0.325,0.0046875,0.015740741
"""Employee""",0,,606,351,110,24,0.315625,0.325,0.057291667,0.022222222
//,201,,64,378,27,20,0.033333333,0.35,0.0140625,0.018518519
return,201,,98,378,68,19,0.051041667,0.35,0.035416667,0.017592593
new,201,,173,378,37,17,0.090104167,0.35,0.019270833,0.015740741
JSONObject,201,,216,378,121,24,0.1125,0.35,0.063020833,0.022222222
map,201,,345,378,37,21,0.1796875,0.35,0.019270833,0.019444444
return,0,,65,406,69,19,0.033854167,0.375925926,0.0359375,0.017592593
map,5,,140,406,45,21,0.072916667,0.375925926,0.0234375,0.019444444
