word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
String,0,,96,135,70,24,0.05,0.125,0.036458333,0.022222222
encode,0,,172,135,79,24,0.089583333,0.125,0.041145833,0.022222222
String,1,,259,135,69,24,0.134895833,0.125,0.0359375,0.022222222
string,0,,335,135,69,24,0.174479167,0.125,0.0359375,0.022222222
throws,0,,432,135,69,20,0.225,0.125,0.0359375,0.018518519
EncoderException,0,,507,135,177,24,0.2640625,0.125,0.0921875,0.022222222
byte,0,byte[],65,162,67,24,0.033854167,0.15,0.034895833,0.022222222
bytes,0,,140,162,66,24,0.072916667,0.15,0.034375,0.022222222
encoded_bytes,0,,216,162,153,24,0.1125,0.15,0.0796875,0.022222222
String,2,,64,189,70,24,0.033333333,0.175,0.036458333,0.022222222
encoded_string,0,,140,189,156,24,0.072916667,0.175,0.08125,0.022222222
=,0,,302,189,16,13,0.157291667,0.175,0.008333333,0.012037037
"""""",0,,325,189,33,23,0.169270833,0.175,0.0171875,0.021296296
try,0,,65,243,37,23,0.033854167,0.225,0.019270833,0.021296296
bytes,1,,108,270,58,24,0.05625,0.25,0.030208333,0.022222222
=,1,,172,270,16,13,0.089583333,0.25,0.008333333,0.012037037
string,1,,195,270,70,24,0.1015625,0.25,0.036458333,0.022222222
getBytes,0,,265,270,93,24,0.138020833,0.25,0.0484375,0.022222222
"""UTF-8""",0,,379,270,78,20,0.197395833,0.25,0.040625,0.018518519
encoded_bytes,1,,108,297,144,24,0.05625,0.275,0.075,0.022222222
=,2,,259,297,16,13,0.134895833,0.275,0.008333333,0.012037037
encodeBase64,0,,280,297,143,24,0.145833333,0.275,0.074479167,0.022222222
bytes,2,,432,297,58,24,0.225,0.275,0.030208333,0.022222222
encoded_string,1,,108,324,155,24,0.05625,0.3,0.080729167,0.022222222
=,3,,269,324,16,13,0.140104167,0.3,0.008333333,0.012037037
new,0,,292,324,37,17,0.152083333,0.3,0.019270833,0.015740741
String,3,,334,324,79,24,0.173958333,0.3,0.041145833,0.022222222
encoded_bytes,2,,421,324,145,24,0.219270833,0.3,0.075520833,0.022222222
catch,0,,86,378,58,20,0.044791667,0.35,0.030208333,0.018518519
UnsupportedEncodingException,0,,172,378,307,24,0.089583333,0.35,0.159895833,0.022222222
ex,0,,486,378,26,17,0.253125,0.35,0.013541667,0.015740741
ex,1,,108,405,25,24,0.05625,0.375,0.013020833,0.022222222
printStackTrace,0,,133,405,190,24,0.069270833,0.375,0.098958333,0.022222222
return,0,,65,459,69,19,0.033854167,0.425,0.0359375,0.017592593
encoded_string,2,,140,459,164,24,0.072916667,0.425,0.085416667,0.022222222
