word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
boolean,0,,108,135,80,20,0.05625,0.125,0.041666667,0.018518519
iamNear,0,,194,135,89,24,0.101041667,0.125,0.046354167,0.022222222
Actor,0,,290,135,60,19,0.151041667,0.125,0.03125,0.017592593
defender,0,,356,135,91,20,0.185416667,0.125,0.047395833,0.018518519
short,0,,65,162,57,20,0.033854167,0.15,0.0296875,0.018518519
xDiff,0,,129,162,59,20,0.0671875,0.15,0.030729167,0.018518519
=,0,,194,162,16,13,0.101041667,0.15,0.008333333,0.012037037
short,1,,238,162,57,20,0.123958333,0.15,0.0296875,0.018518519
defender,1,,345,162,99,24,0.1796875,0.15,0.0515625,0.022222222
getXpos,0,,444,162,87,24,0.23125,0.15,0.0453125,0.022222222
-,0,,552,162,12,8,0.2875,0.15,0.00625,0.007407407
getXpos,1,,572,162,100,24,0.297916667,0.15,0.052083333,0.022222222
short,2,,65,182,57,20,0.033854167,0.168518519,0.0296875,0.018518519
yDiff,0,,129,182,59,24,0.0671875,0.168518519,0.030729167,0.022222222
=,1,,194,182,16,13,0.101041667,0.168518519,0.008333333,0.012037037
short,3,,238,182,57,20,0.123958333,0.168518519,0.0296875,0.018518519
defender,2,,345,182,99,24,0.1796875,0.168518519,0.0515625,0.022222222
getYpos,0,,444,182,87,24,0.23125,0.168518519,0.0453125,0.022222222
-,1,,552,182,12,8,0.2875,0.168518519,0.00625,0.007407407
getYpos,1,,572,182,100,24,0.297916667,0.168518519,0.052083333,0.022222222
if,0,,64,243,27,20,0.033333333,0.225,0.0140625,0.018518519
xDiff,1,,118,243,59,20,0.061458333,0.225,0.030729167,0.018518519
>,0,,183,243,16,16,0.0953125,0.225,0.008333333,0.014814815
1,0,,205,243,16,19,0.106770833,0.225,0.008333333,0.017592593
||,0,,230,243,18,24,0.119791667,0.225,0.009375,0.022222222
yDiff,1,,258,243,60,24,0.134375,0.225,0.03125,0.022222222
>,1,,324,243,15,16,0.16875,0.225,0.0078125,0.014814815
1,1,,345,243,16,19,0.1796875,0.225,0.008333333,0.017592593
||,1,,370,243,18,24,0.192708333,0.225,0.009375,0.022222222
xDiff,2,,399,243,59,20,0.2078125,0.225,0.030729167,0.018518519
<,0,,464,243,16,16,0.241666667,0.225,0.008333333,0.014814815
1,2,-1,487,243,25,19,0.253645833,0.225,0.013020833,0.017592593
||,2,,522,243,18,24,0.271875,0.225,0.009375,0.022222222
yDiff,2,,550,243,59,24,0.286458333,0.225,0.030729167,0.022222222
<,1,,615,243,16,16,0.3203125,0.225,0.008333333,0.014814815
1,3,-1,639,243,25,19,0.3328125,0.225,0.013020833,0.017592593
return,0,,109,270,68,19,0.056770833,0.25,0.035416667,0.017592593
FALSE,0,,183,270,67,23,0.0953125,0.25,0.034895833,0.021296296
return,1,,65,325,69,19,0.033854167,0.300925926,0.0359375,0.017592593
TRUE,0,,140,325,56,22,0.072916667,0.300925926,0.029166667,0.02037037
