word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
void,0,,107,135,48,20,0.055729167,0.125,0.025,0.018518519
leaveAll,0,,163,135,98,24,0.084895833,0.125,0.051041667,0.022222222
MouseEvent,0,MouseEvent<?,270,135,134,19,0.140625,0.125,0.069791667,0.017592593
extends,0,,410,135,80,20,0.213541667,0.125,0.041666667,0.018518519
EventHandler,0,,497,135,133,20,0.258854167,0.125,0.069270833,0.018518519
>,0,,637,135,16,16,0.331770833,0.125,0.008333333,0.014814815
event,0,,658,135,58,19,0.342708333,0.125,0.030208333,0.017592593
LocInfo,0,,65,162,80,20,0.033854167,0.15,0.041666667,0.018518519
locInfo,0,,152,162,79,20,0.079166667,0.15,0.041145833,0.018518519
=,0,,237,162,16,13,0.1234375,0.15,0.008333333,0.012037037
new,0,,259,162,38,17,0.134895833,0.15,0.019791667,0.015740741
LocInfo,1,,303,162,109,24,0.1578125,0.15,0.056770833,0.022222222
assert,0,,64,189,79,24,0.033333333,0.175,0.041145833,0.022222222
locInfo,1,!locInfo,154,189,93,24,0.080208333,0.175,0.0484375,0.022222222
isVertexLocValid,0,,247,189,186,24,0.128645833,0.175,0.096875,0.022222222
assert,1,,64,216,79,24,0.033333333,0.2,0.041145833,0.022222222
locInfo,2,!locInfo,154,216,92,24,0.080208333,0.2,0.047916667,0.022222222
isVerticalEdgeLocValid,0,,246,216,253,24,0.128125,0.2,0.131770833,0.022222222
assert,2,,64,243,79,24,0.033333333,0.225,0.041145833,0.022222222
locinfo,3,!locInfo,154,243,92,24,0.080208333,0.225,0.047916667,0.022222222
isHorizontalEdgeLocValid,0,,246,243,275,24,0.128125,0.225,0.143229167,0.022222222
assert,3,,64,270,79,24,0.033333333,0.25,0.041145833,0.022222222
locInfo,4,!locInfo,154,270,94,24,0.080208333,0.25,0.048958333,0.022222222
isCellLocValid,0,,248,270,164,24,0.129166667,0.25,0.085416667,0.022222222
handleLeaveEvents,0,,65,297,196,24,0.033854167,0.275,0.102083333,0.022222222
locInfo,5,,271,297,86,23,0.141145833,0.275,0.044791667,0.021296296
event,1,,367,297,58,19,0.191145833,0.275,0.030208333,0.017592593
lastLocInfo,0,,66,324,127,24,0.034375,0.3,0.066145833,0.022222222
copy,0,,193,324,46,24,0.100520833,0.3,0.023958333,0.022222222
locInfo,6,,260,324,79,20,0.135416667,0.3,0.041145833,0.018518519
