word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
Component,0,,107,135,102,23,0.055729167,0.125,0.053125,0.021296296
makeCenter,0,,215,135,133,24,0.111979167,0.125,0.069270833,0.022222222
imageCanvas,0,,64,162,124,24,0.033333333,0.15,0.064583333,0.022222222
=,0,,194,162,16,13,0.101041667,0.15,0.008333333,0.012037037
new,0,,216,162,38,17,0.1125,0.15,0.019791667,0.015740741
JPanel,1,,259,162,99,24,0.134895833,0.15,0.0515625,0.022222222
imageCanvas,1,,64,189,124,24,0.033333333,0.175,0.064583333,0.022222222
addMouseListener,0,,188,189,181,24,0.097916667,0.175,0.094270833,0.022222222
new,1,,389,189,38,17,0.202604167,0.175,0.019791667,0.015740741
MouseAdapter,0,,432,189,154,24,0.225,0.175,0.080208333,0.022222222
SuppressWarnings,0,@SuppressWarnings,107,216,198,24,0.055729167,0.2,0.103125,0.022222222
"""synthetic-access""",0,,314,216,197,24,0.163541667,0.2,0.102604167,0.022222222
Override,0,@Override,107,243,103,22,0.055729167,0.225,0.053645833,0.02037037
public,0,,108,270,69,24,0.05625,0.25,0.0359375,0.022222222
void,0,,183,270,48,20,0.0953125,0.25,0.025,0.018518519
mouseClicked,0,,237,270,143,24,0.1234375,0.25,0.074479167,0.022222222
MouseEvent,0,,388,270,112,19,0.202083333,0.25,0.058333333,0.017592593
e,0,,507,270,16,17,0.2640625,0.25,0.008333333,0.015740741
actionImageMouse,0,,151,297,186,24,0.078645833,0.275,0.096875,0.022222222
e,1,,345,297,16,17,0.1796875,0.275,0.008333333,0.015740741
imageCanvas,2,,64,405,129,24,0.033333333,0.375,0.0671875,0.022222222
add,0,,193,405,35,24,0.100520833,0.375,0.018229167,0.022222222
new,2,,248,405,38,17,0.129166667,0.375,0.019791667,0.015740741
JLabel,0,,292,405,77,24,0.152083333,0.375,0.040104167,0.022222222
new,3,,378,405,38,17,0.196875,0.375,0.019791667,0.015740741
ImageIcon,0,,421,405,111,24,0.219270833,0.375,0.0578125,0.022222222
SWGFrame,0,,539,405,91,24,0.280729167,0.375,0.047395833,0.022222222
class,0,,630,405,57,24,0.328125,0.375,0.0296875,0.022222222
getResource,0,,687,405,125,24,0.3578125,0.375,0.065104167,0.022222222
"""images/swg.png""",0,,843,405,175,24,0.4390625,0.375,0.091145833,0.022222222
return,0,,65,459,69,19,0.033854167,0.425,0.0359375,0.017592593
new,4,,140,459,38,17,0.072916667,0.425,0.019791667,0.015740741
JScrollPane,0,,184,459,131,24,0.095833333,0.425,0.068229167,0.022222222
imageCanvas,3,,324,459,123,24,0.16875,0.425,0.0640625,0.022222222
