word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,,22,135,101,24,0.011458333,0.125,0.052604167,0.022222222
void,0,,129,135,48,20,0.0671875,0.125,0.025,0.018518519
onAttach,0,,183,135,111,24,0.0953125,0.125,0.0578125,0.022222222
if,0,,64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
attached,0,,118,162,91,20,0.061458333,0.15,0.047395833,0.018518519
return;,0,,109,190,76,22,0.056770833,0.175925926,0.039583333,0.02037037
attached,1,,64,243,91,20,0.033333333,0.225,0.047395833,0.018518519
=,0,,161,243,16,13,0.083854167,0.225,0.008333333,0.012037037
TRUE,0,,184,243,55,22,0.095833333,0.225,0.028645833,0.02037037
//,200,,64,297,27,20,0.033333333,0.275,0.0140625,0.018518519
Set,200,,96,297,37,19,0.05,0.275,0.019270833,0.017592593
the,200,,140,297,37,20,0.072916667,0.275,0.019270833,0.018518519
main,200,,183,297,48,20,0.0953125,0.275,0.025,0.018518519
element's,200,,237,297,102,20,0.1234375,0.275,0.053125,0.018518519
event,200,,345,297,58,19,0.1796875,0.275,0.030208333,0.017592593
listener.,200,,411,297,87,20,0.2140625,0.275,0.0453125,0.018518519
This,200,,518,297,48,20,0.269791667,0.275,0.025,0.018518519
should,200,,573,297,68,20,0.2984375,0.275,0.035416667,0.018518519
only,200,,648,297,48,24,0.3375,0.275,0.025,0.022222222
be,200,,702,297,26,20,0.365625,0.275,0.013541667,0.018518519
set,200,,735,297,35,19,0.3828125,0.275,0.018229167,0.017592593
//,201,,64,324,27,20,0.033333333,0.3,0.0140625,0.018518519
while,201,,96,324,60,20,0.05,0.3,0.03125,0.018518519
the,201,,162,324,37,20,0.084375,0.3,0.019270833,0.018518519
widget,201,,204,324,70,24,0.10625,0.3,0.036458333,0.022222222
is,201,,280,324,26,20,0.145833333,0.3,0.013541667,0.018518519
attached,201,,313,324,98,23,0.163020833,0.3,0.051041667,0.021296296
because,201,,421,324,80,20,0.219270833,0.3,0.041666667,0.018518519
it,201,,507,324,26,20,0.2640625,0.3,0.013541667,0.018518519
creates,201,,540,324,80,19,0.28125,0.3,0.041666667,0.017592593
a,201,,626,324,16,17,0.326041667,0.3,0.008333333,0.015740741
circular,201,,648,324,91,20,0.3375,0.3,0.047395833,0.018518519
//,202,,64,351,27,20,0.033333333,0.325,0.0140625,0.018518519
reference,202,,98,351,101,20,0.051041667,0.325,0.052604167,0.018518519
between,202,,205,351,80,20,0.106770833,0.325,0.041666667,0.018518519
JavaScript,202,,292,351,111,24,0.152083333,0.325,0.0578125,0.022222222
and,202,,410,351,37,20,0.213541667,0.325,0.019270833,0.018518519
the,202,,454,351,37,20,0.236458333,0.325,0.019270833,0.018518519
DOM.,202,,497,351,33,19,0.258854167,0.325,0.0171875,0.017592593
DOM,0,,65,378,34,24,0.033854167,0.35,0.017708333,0.022222222
setEventListener,0,,99,378,183,24,0.0515625,0.35,0.0953125,0.022222222
getElement,0,,302,378,142,24,0.157291667,0.35,0.073958333,0.022222222
this,0,,454,378,47,20,0.236458333,0.35,0.024479167,0.018518519
//,203,,64,432,27,20,0.033333333,0.4,0.0140625,0.018518519
Now,203,,97,432,38,19,0.050520833,0.4,0.019791667,0.017592593
that,203,,140,432,47,20,0.072916667,0.4,0.024479167,0.018518519
the,203,,194,432,37,20,0.101041667,0.4,0.019270833,0.018518519
widget,203,,236,432,70,24,0.122916667,0.4,0.036458333,0.022222222
is,203,,313,432,26,20,0.163020833,0.4,0.013541667,0.018518519
"attached,",203,,345,432,99,23,0.1796875,0.4,0.0515625,0.021296296
call,203,,453,432,48,20,0.2359375,0.4,0.025,0.018518519
onLoad().,203,,507,432,99,24,0.2640625,0.4,0.0515625,0.022222222
onLoad,0,,64,459,100,24,0.033333333,0.425,0.052083333,0.022222222
