word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
setBinWidth,0,,151,135,123,20,0.078645833,0.125,0.0640625,0.018518519
double,0,,302,135,70,20,0.157291667,0.125,0.036458333,0.018518519
new_bin_width,0,,378,135,144,22,0.196875,0.125,0.075,0.02037037
double,1,,64,162,70,20,0.033333333,0.15,0.036458333,0.018518519
old_bin_width,0,,140,162,145,22,0.072916667,0.15,0.075520833,0.02037037
=,0,,291,162,16,13,0.1515625,0.15,0.008333333,0.012037037
binWidth,0,,313,162,99,23,0.163020833,0.15,0.0515625,0.021296296
binWidth,1,,65,189,90,20,0.033854167,0.175,0.046875,0.018518519
=,1,,161,189,16,13,0.083854167,0.175,0.008333333,0.012037037
new_bin_width,1,,184,189,152,23,0.095833333,0.175,0.079166667,0.021296296
pcs,0,,65,216,34,24,0.033854167,0.2,0.017708333,0.022222222
firePropertyChange,0,,99,216,205,24,0.0515625,0.2,0.106770833,0.022222222
"""binWidth""",0,,325,216,119,23,0.169270833,0.2,0.061979167,0.021296296
new,0,,173,243,37,17,0.090104167,0.225,0.019270833,0.015740741
Double,0,,216,243,78,24,0.1125,0.225,0.040625,0.022222222
old_bin_width,1,,302,243,145,22,0.157291667,0.225,0.075520833,0.02037037
new,1,,173,270,37,17,0.090104167,0.25,0.019270833,0.015740741
Double,1,,216,270,78,24,0.1125,0.25,0.040625,0.022222222
new_bin_width,2,,302,270,145,22,0.157291667,0.25,0.075520833,0.02037037
repaint,0,,65,297,109,24,0.033854167,0.275,0.056770833,0.022222222
//,200,,43,324,26,20,0.022395833,0.3,0.013541667,0.018518519
setBinWidth,200,,76,324,131,24,0.039583333,0.3,0.068229167,0.022222222
double,200,,216,324,69,20,0.1125,0.3,0.0359375,0.018518519
