word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
swapItems,0,,151,135,110,24,0.078645833,0.125,0.057291667,0.022222222
int,0,,270,135,36,20,0.140625,0.125,0.01875,0.018518519
index,0,,313,135,66,23,0.163020833,0.125,0.034375,0.021296296
int,1,,388,135,37,20,0.202083333,0.125,0.019270833,0.018518519
change,0,,432,135,69,24,0.225,0.125,0.0359375,0.022222222
if,0,,64,162,35,24,0.033333333,0.15,0.018229167,0.022222222
index,1,,108,162,59,20,0.05625,0.15,0.030729167,0.018518519
>=,0,,172,162,27,16,0.089583333,0.15,0.0140625,0.014814815
0,0,,205,162,16,19,0.106770833,0.15,0.008333333,0.017592593
&&,0,,226,162,28,19,0.117708333,0.15,0.014583333,0.017592593
index,2,,259,162,59,20,0.134895833,0.15,0.030729167,0.018518519
<,0,,323,162,16,16,0.168229167,0.15,0.008333333,0.014814815
allItems,0,,345,162,88,20,0.1796875,0.15,0.045833333,0.018518519
length,0,,444,162,68,24,0.23125,0.15,0.035416667,0.022222222
&&,1,,517,162,28,19,0.269270833,0.15,0.014583333,0.017592593
change,1,,550,162,70,24,0.286458333,0.15,0.036458333,0.022222222
>=,1,,626,162,27,16,0.326041667,0.15,0.0140625,0.014814815
0,1,,658,162,16,19,0.342708333,0.15,0.008333333,0.017592593
&&,2,,679,162,28,19,0.353645833,0.15,0.014583333,0.017592593
change,2,,712,162,70,24,0.370833333,0.15,0.036458333,0.022222222
<,1,,788,162,16,16,0.410416667,0.15,0.008333333,0.014814815
allItems,1,,810,162,88,20,0.421875,0.15,0.045833333,0.018518519
length,1,,908,162,68,24,0.472916667,0.15,0.035416667,0.022222222
MenuItem,0,,108,189,91,19,0.05625,0.175,0.047395833,0.017592593
temp,0,,205,189,48,23,0.106770833,0.175,0.025,0.021296296
=,0,,259,189,16,13,0.134895833,0.175,0.008333333,0.012037037
allItems,2,,280,189,101,24,0.145833333,0.175,0.052604167,0.022222222
index,3,,388,189,59,20,0.202083333,0.175,0.030729167,0.018518519
allItems,3,,108,216,100,24,0.05625,0.2,0.052083333,0.022222222
index,4,,216,216,59,20,0.1125,0.2,0.030729167,0.018518519
=,1,,302,216,16,13,0.157291667,0.2,0.008333333,0.012037037
allItems,4,,324,216,100,24,0.16875,0.2,0.052083333,0.022222222
change,3,,432,216,69,24,0.225,0.2,0.0359375,0.022222222
allItems,5,,108,243,100,24,0.05625,0.225,0.052083333,0.022222222
change,4,,216,243,69,24,0.1125,0.225,0.0359375,0.022222222
=,2,,313,243,16,13,0.163020833,0.225,0.008333333,0.012037037
temp,1,,335,243,55,23,0.174479167,0.225,0.028645833,0.021296296
