word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
testCookieGreaterThan,0,,151,135,251,24,0.078645833,0.125,0.130729167,0.022222222
throws,0,,410,135,69,20,0.213541667,0.125,0.0359375,0.018518519
ServletException,0,,485,135,185,24,0.252604167,0.125,0.096354167,0.022222222
JspException,0,,691,135,134,24,0.359895833,0.125,0.069791667,0.022222222
GreaterThanTag,0,,64,162,156,24,0.033333333,0.15,0.08125,0.022222222
gt,0,,226,162,26,23,0.117708333,0.15,0.013541667,0.021296296
=,0,,259,162,16,13,0.134895833,0.15,0.008333333,0.012037037
new,0,,281,162,37,17,0.146354167,0.15,0.019270833,0.015740741
GreaterThanTag,1,,323,162,186,24,0.168229167,0.15,0.096875,0.022222222
gt,1,,64,189,23,24,0.033333333,0.175,0.011979167,0.022222222
setPageContext,0,,87,189,162,24,0.0453125,0.175,0.084375,0.022222222
pageContext,0,,270,189,122,23,0.140625,0.175,0.063541667,0.021296296
gt,2,,64,216,24,24,0.033333333,0.2,0.0125,0.022222222
setCookie,0,,88,216,107,24,0.045833333,0.2,0.055729167,0.022222222
COOKIE_KEY,0,,215,216,114,21,0.111979167,0.2,0.059375,0.019444444
gt,3,,64,243,24,24,0.033333333,0.225,0.0125,0.022222222
setValue,0,,88,243,97,24,0.045833333,0.225,0.050520833,0.022222222
LESSER_VAL,0,,206,243,112,21,0.107291667,0.225,0.058333333,0.019444444
assertTrue,0,,64,297,122,24,0.033333333,0.275,0.063541667,0.022222222
"""Cookie",100,,109,324,79,20,0.056770833,0.3,0.041145833,0.018518519
Value,100,,193,324,60,20,0.100520833,0.3,0.03125,0.018518519
"(""",100,,261,324,23,24,0.1359375,0.3,0.011979167,0.022222222
+,0,,291,324,16,16,0.1515625,0.3,0.008333333,0.014814815
GREATER_VAL,0,,313,324,124,21,0.163020833,0.3,0.064583333,0.019444444
+,1,,442,324,16,16,0.230208333,0.3,0.008333333,0.014814815
""")",101,"""",465,324,24,24,0.2421875,0.3,0.0125,0.022222222
is,101,,496,324,26,20,0.258333333,0.3,0.013541667,0.018518519
greater,101,,529,324,80,23,0.275520833,0.3,0.041666667,0.021296296
than,101,,616,324,47,20,0.320833333,0.3,0.024479167,0.018518519
value,101,,669,324,59,20,0.3484375,0.3,0.030729167,0.018518519
"(""",101,,736,324,23,24,0.383333333,0.3,0.011979167,0.022222222
+,2,,766,324,16,16,0.398958333,0.3,0.008333333,0.014814815
LESSER_VAL,1,,789,324,112,21,0.4109375,0.3,0.058333333,0.019444444
+,3,,907,324,16,16,0.472395833,0.3,0.008333333,0.014814815
""")""",0,,930,324,43,24,0.484375,0.3,0.022395833,0.022222222
gt,4,,108,351,29,24,0.05625,0.325,0.015104167,0.022222222
condition,0,,137,351,130,24,0.071354167,0.325,0.067708333,0.022222222
