word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
testMoveRFWithNullContainer,0,,151,135,316,24,0.078645833,0.125,0.164583333,0.022222222
throws,0,,475,135,69,20,0.247395833,0.125,0.0359375,0.018518519
CoreException,0,,550,135,145,24,0.286458333,0.125,0.075520833,0.022222222
IRodinFile,0,,65,162,112,20,0.033854167,0.15,0.058333333,0.018518519
rfSource,0,,184,162,91,20,0.095833333,0.15,0.047395833,0.018518519
=,0,,280,162,16,13,0.145833333,0.15,0.008333333,0.012037037
createRodinFile,0,,302,162,176,24,0.157291667,0.15,0.091666667,0.022222222
"""/P/X.test""",0,,487,162,121,20,0.253645833,0.15,0.063020833,0.018518519
try,0,,65,189,37,23,0.033854167,0.175,0.019270833,0.021296296
rfSource,1,,109,216,94,24,0.056770833,0.2,0.048958333,0.022222222
move,0,,203,216,47,24,0.105729167,0.2,0.024479167,0.022222222
null,0,,270,216,55,23,0.140625,0.2,0.028645833,0.021296296
null,1,,335,216,55,23,0.174479167,0.2,0.028645833,0.021296296
null,2,,400,216,54,23,0.208333333,0.2,0.028125,0.021296296
FALSE,0,,464,216,66,23,0.241666667,0.2,0.034375,0.021296296
null,3,,540,216,48,20,0.28125,0.2,0.025,0.018518519
catch,0,,86,243,58,20,0.044791667,0.225,0.030208333,0.018518519
IllegalArgumentException,0,,173,243,263,24,0.090104167,0.225,0.136979167,0.022222222
iae,0,,442,243,38,20,0.230208333,0.225,0.019791667,0.018518519
return;,0,return,109,271,76,22,0.056770833,0.250925926,0.039583333,0.02037037
assertTrue,0,,64,324,122,24,0.033333333,0.3,0.063541667,0.022222222
"""Should",100,,195,324,79,20,0.1015625,0.3,0.041145833,0.018518519
not,100,,281,324,36,19,0.146354167,0.3,0.01875,0.017592593
be,100,,324,324,26,20,0.16875,0.3,0.013541667,0.018518519
able,100,,356,324,48,20,0.185416667,0.3,0.025,0.018518519
to,100,,411,324,26,19,0.2140625,0.3,0.013541667,0.017592593
move,100,,442,324,49,17,0.230208333,0.3,0.025520833,0.015740741
a,100,,496,324,17,17,0.258333333,0.3,0.008854167,0.015740741
rf,100,,519,324,26,20,0.2703125,0.3,0.013541667,0.018518519
to,100,,551,324,26,19,0.286979167,0.3,0.013541667,0.017592593
a,100,,583,324,16,17,0.303645833,0.3,0.008333333,0.015740741
null,100,,605,324,48,20,0.315104167,0.3,0.025,0.018518519
"container""",100,,658,324,120,23,0.342708333,0.3,0.0625,0.021296296
FALSE,1,,788,324,59,20,0.410416667,0.3,0.030729167,0.018518519
