word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
void,0,,107,135,48,20,0.055729167,0.125,0.025,0.018518519
updateGain,0,,162,135,132,24,0.084375,0.125,0.06875,0.022222222
int,0,,64,162,37,20,0.033333333,0.15,0.019270833,0.018518519
pos,0,,108,162,36,21,0.05625,0.15,0.01875,0.019444444
=,0,,151,162,16,13,0.078645833,0.15,0.008333333,0.012037037
getValue,0,,172,162,121,24,0.089583333,0.15,0.063020833,0.022222222
int,1,,64,189,37,20,0.033333333,0.175,0.019270833,0.018518519
value,0,,107,189,60,20,0.055729167,0.175,0.03125,0.018518519
=,1,,172,189,16,13,0.089583333,0.175,0.008333333,0.012037037
int,2,(int,196,189,55,24,0.102083333,0.175,0.028645833,0.022222222
127,0,,281,189,36,19,0.146354167,0.175,0.01875,0.017592593
*,0,,325,189,13,13,0.169270833,0.175,0.006770833,0.012037037
double,0,,367,189,70,20,0.191145833,0.175,0.036458333,0.018518519
pos,1,,486,189,36,21,0.253125,0.175,0.01875,0.019444444
/,0,,529,189,15,20,0.275520833,0.175,0.0078125,0.018518519
100,0,,551,189,35,19,0.286979167,0.175,0.018229167,0.017592593
MidiChannel,0,MidiChannel[],64,216,143,24,0.033333333,0.2,0.074479167,0.022222222
cs,0,,216,216,26,17,0.1125,0.2,0.013541667,0.015740741
=,2,,248,216,16,13,0.129166667,0.2,0.008333333,0.012037037
synthesizer,0,,270,216,135,24,0.140625,0.2,0.0703125,0.022222222
getChannels,0,,405,216,135,24,0.2109375,0.2,0.0703125,0.022222222
for,0,,64,270,46,24,0.033333333,0.25,0.023958333,0.022222222
int,3,,118,270,37,20,0.061458333,0.25,0.019270833,0.018518519
I,0,i,162,270,15,19,0.084375,0.25,0.0078125,0.017592593
=,3,,183,270,16,13,0.0953125,0.25,0.008333333,0.012037037
0,0,,205,270,23,22,0.106770833,0.25,0.011979167,0.02037037
I,1,i,238,270,14,19,0.123958333,0.25,0.007291667,0.017592593
<,0,,259,270,16,15,0.134895833,0.25,0.008333333,0.013888889
cs,1,,280,270,23,17,0.145833333,0.25,0.011979167,0.015740741
length,0,,314,270,76,24,0.163541667,0.25,0.039583333,0.022222222
i,0,i++,399,270,38,20,0.2078125,0.25,0.019791667,0.018518519
cs,2,,108,297,36,24,0.05625,0.275,0.01875,0.022222222
i,1,,151,297,16,20,0.078645833,0.275,0.008333333,0.018518519
controlChange,0,,186,297,151,24,0.096875,0.275,0.078645833,0.022222222
7,0,,356,297,23,22,0.185416667,0.275,0.011979167,0.02037037
value,1,,388,297,59,20,0.202083333,0.275,0.030729167,0.018518519
