participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,"""",37563349,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
13,populateNewList,34427273,reading,,,,
13,setAdditionalSeqsOids,31203138,reading,,,,
13,evaluatePopulation,48023365,reading,,,,
13,compareTo,17121898,reading,,,,
13,getStatusFlagFields,22622479,reading,,,,
13,saveSetting,46026508,reading,,,,
13,removeRedundantOperations,22907997,reading,,,,
13,addRotation,23014476,reading,,,,
13,close,34413807,reading,,,,
13,otherDoEndTagOperations,1741129,reading,,,,
13,invalidateSession,18354735,reading,,,,
13,getFiles,4280405,reading,,,,
13,addDbArgs,18251847,reading,,,,
13,loadSystems,19344442,reading,,,,
13,tellAgain,18912425,reading,,,,
13,show,21359951,reading,,,,
13,getImageWithSource,1782360,reading,,,,
13,setTargetMap,22407577,reading,,,,
13,testInvoke,39233866,reading,,,,
13,handleHalt,19682824,reading,,,,
13,initButtons,42956622,reading,,,,
13,configBalanceRanking,40778768,reading,,,,
13,getAllSourceRoots,47479282,reading,,,,
13,testGetCodigo,11950130,reading,,,,
13,openNewContainerWindow,34413723,reading,,,,
13,store,20787007,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,"""",37563349,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,"""",37563349,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
13,populateNewList,34427273,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,"""",37563349,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,"""",37563349,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
13,populateNewList,34427273,reading,,,,
13,setAdditionalSeqsOids,31203138,reading,,,,
13,evaluatePopulation,48023365,reading,,,,
13,compareTo,17121898,reading,,,,
13,getStatusFlagFields,22622479,reading,,,,
13,saveSetting,46026508,reading,,,,
13,removeRedundantOperations,22907997,reading,,,,
13,addRotation,23014476,reading,,,,
13,close,34413807,reading,,,,
13,otherDoEndTagOperations,1741129,reading,,,,
13,invalidateSession,18354735,reading,,,,
13,getFiles,4280405,reading,,,,
13,addDbArgs,18251847,reading,,,,
13,loadSystems,19344442,reading,,,,
13,tellAgain,18912425,reading,,,,
13,show,21359951,reading,,,,
13,getImageWithSource,1782360,reading,,,,
13,setTargetMap,22407577,reading,,,,
13,testInvoke,39233866,reading,,,,
13,handleHalt,19682824,reading,,,,
13,initButtons,42956622,reading,,,,
13,configBalanceRanking,40778768,reading,,,,
13,getAllSourceRoots,47479282,reading,,,,
13,testGetCodigo,11950130,reading,,,,
13,openNewContainerWindow,34413723,reading,,,,
13,store,20787007,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,loadSystems,19344442,reading,,,,
13,addRotation,23014476,reading,,,,
13,handleHalt,19682824,reading,,,,
13,indexToLetter,16958722,reading,,,,
13,store,20787007,reading,,,,
13,"""",37563349,reading,,,,
13,compareTo,17121898,reading,,,,
13,populateNewList,34427273,reading,,,,
13,getStatusFlagFields,22622479,reading,,,,
13,openNewContainerWindow,34413723,reading,,,,
13,saveSetting,46026508,reading,,,,
13,tellAgain,18912425,reading,,,,
13,testGetCodigo,11950130,reading,,,,
13,setTargetMap,22407577,reading,,,,
13,setAdditionalSeqsOids,31203138,reading,,,,
13,close,34413807,reading,,,,
13,invalidateSession,18354735,reading,,,,
13,otherDoEndTagOperations,1741129,reading,,,,
13,addDbArgs,18251847,reading,,,,
13,removeRedundantOperations,22907997,reading,,,,
13,getFiles,4280405,reading,,,,
13,configBalanceRanking,40778768,reading,,,,
13,testCookieGreaterThan,39840471,reading,,,,
13,show,21359951,reading,,,,
13,getImageWithSource,1782360,reading,,,,
13,initButtons,42956622,reading,,,,
13,evaluatePopulation,48023365,reading,,,,
13,getAllSourceRoots,47479282,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
13,testInvoke,39233866,reading,,,,
13,getOkCommand18,40879350,writing,,,,
13,getRodinDBStatus,19505695,writing,,,,
13,resolveValue,26493872,writing,,,,
13,createGraphModel,27802185,writing,,,,
13,setEndpointAddress,36356719,writing,,,,
13,encode,33519720,writing,,,,
13,selectBracketingEntries,40936756,writing,,,,
13,init,43040436,writing,,,,
13,getPassword,47629915,writing,,,,
13,getConnectionPanel,20687719,writing,,,,
13,getBackCommand2,29601536,writing,,,,
13,toString,22626628,writing,,,,
13,onAttach,1810081,writing,,,,
13,testOneTwoThreeCreateCycle,19507735,writing,,,,
13,liesBetween,39299426,writing,,,,
13,addUIDeployment,31788771,writing,,,,
13,visitRetStmt,13482891,writing,,,,
13,getBackCommand12,40865383,writing,,,,
13,addMultiSelectionPropertyDescriptor,33993930,writing,,,,
13,getClassNameForLookAndFeel,19218425,writing,,,,
13,evaluate,45130358,writing,,,,
13,searchRecipe,18421665,writing,,,,
13,capitalizeString,1412807,writing,,,,
13,getUserNameFromCookie,1694531,writing,,,,
13,getJSplitPane,39233258,writing,,,,
13,exit,4453291,writing,,,,
13,getScopePartnerLinks,23286083,writing,,,,
13,addModePropertyDescriptor,42170923,writing,,,,
13,testSetExample,50891793,writing,,,,
13,leaveAll,35061399,writing,,,,
13,loadSystems,19344442,reading,,,,
13,addRotation,23014476,reading,,,,
13,handleHalt,19682824,reading,,,,
13,indexToLetter,16958722,reading,,,,
13,store,20787007,reading,,,,
13,"""",37563349,reading,,,,
13,compareTo,17121898,reading,,,,
13,populateNewList,34427273,reading,,,,
13,getStatusFlagFields,22622479,reading,,,,
13,openNewContainerWindow,34413723,reading,,,,
13,saveSetting,46026508,reading,,,,
13,tellAgain,18912425,reading,,,,
13,testGetCodigo,11950130,reading,,,,
13,setTargetMap,22407577,reading,,,,
13,setAdditionalSeqsOids,31203138,reading,,,,
13,close,34413807,reading,,,,
13,invalidateSession,18354735,reading,,,,
13,otherDoEndTagOperations,1741129,reading,,,,
13,addDbArgs,18251847,reading,,,,
13,removeRedundantOperations,22907997,reading,,,,
13,getFiles,4280405,reading,,,,
13,configBalanceRanking,40778768,reading,,,,
13,testCookieGreaterThan,39840471,reading,,,,
13,show,21359951,reading,,,,
13,getImageWithSource,1782360,reading,,,,
13,initButtons,42956622,reading,,,,
13,evaluatePopulation,48023365,reading,,,,
13,getAllSourceRoots,47479282,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
13,testInvoke,39233866,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
13,loadSystems,19344442,reading,,,,
13,addRotation,23014476,reading,,,,
13,handleHalt,19682824,reading,,,,
13,indexToLetter,16958722,reading,,,,
13,store,20787007,reading,,,,
13,"""",37563349,reading,,,,
13,compareTo,17121898,reading,,,,
13,populateNewList,34427273,reading,,,,
13,getStatusFlagFields,22622479,reading,,,,
13,openNewContainerWindow,34413723,reading,,,,
13,saveSetting,46026508,reading,,,,
13,tellAgain,18912425,reading,,,,
13,testGetCodigo,11950130,reading,,,,
13,setTargetMap,22407577,reading,,,,
13,setAdditionalSeqsOids,31203138,reading,,,,
13,close,34413807,reading,,,,
13,invalidateSession,18354735,reading,,,,
13,otherDoEndTagOperations,1741129,reading,,,,
13,addDbArgs,18251847,reading,,,,
13,removeRedundantOperations,22907997,reading,,,,
13,getFiles,4280405,reading,,,,
13,configBalanceRanking,40778768,reading,,,,
13,testCookieGreaterThan,39840471,reading,,,,
13,show,21359951,reading,,,,
13,getImageWithSource,1782360,reading,,,,
13,initButtons,42956622,reading,,,,
13,evaluatePopulation,48023365,reading,,,,
13,getAllSourceRoots,47479282,reading,,,,
13,testGetEvtIDs,33719118,reading,,,,
13,testInvoke,39233866,reading,,,,
13,getOkCommand18,40879350,writing,,,,
13,getRodinDBStatus,19505695,writing,,,,
13,resolveValue,26493872,writing,,,,
13,createGraphModel,27802185,writing,,,,
13,setEndpointAddress,36356719,writing,,,,
13,encode,33519720,writing,,,,
13,selectBracketingEntries,40936756,writing,,,,
13,init,43040436,writing,,,,
13,getPassword,47629915,writing,,,,
13,getConnectionPanel,20687719,writing,,,,
13,getBackCommand2,29601536,writing,,,,
13,toString,22626628,writing,,,,
13,onAttach,1810081,writing,,,,
13,testOneTwoThreeCreateCycle,19507735,writing,,,,
13,liesBetween,39299426,writing,,,,
13,addUIDeployment,31788771,writing,,,,
13,visitRetStmt,13482891,writing,,,,
13,getBackCommand12,40865383,writing,,,,
13,addMultiSelectionPropertyDescriptor,33993930,writing,,,,
13,getClassNameForLookAndFeel,19218425,writing,,,,
13,evaluate,45130358,writing,,,,
13,searchRecipe,18421665,writing,,,,
13,capitalizeString,1412807,writing,,,,
13,getUserNameFromCookie,1694531,writing,,,,
13,getJSplitPane,39233258,writing,,,,
13,exit,4453291,writing,,,,
13,getScopePartnerLinks,23286083,writing,,,,
13,addModePropertyDescriptor,42170923,writing,,,,
13,testSetExample,50891793,writing,,,,
13,leaveAll,35061399,writing,,,,
