,fid,name,ref,callcon,function
154,1118165,modifyRoleInCache,role user cache resource cache, modifies the role in the cache ,"

public void modifyRoleInCache( Role role, String orgRolename ) {
    Set users = role.getUsers();

    for ( Iterator iter = users.iterator(); iter.hasNext(); ) {
        User user = ( User ) iter.next();
        userDetailsInCache( user );
    }
    for ( Iterator iter = role.getRescs().iterator(); iter.hasNext(); ) {
        Resource resource = ( Resource ) iter.next();
        resourceDetailsInCache( resource );
    }
} 
"
2,18252350,joinTableRender,gets render of an association for the join combobox, creates the table interaction table ,"

private String joinTableRender( Table from, Association association ) {
    int n = 0;

    for ( Association a: from.associations ) {
        if ( a.destination == association.destination ) {
            ++n;
        }
    }
    return datamodel.getDisplayName( association.destination ) + ( n > 1?"" on "" + association.getName():"""" );
} 
"
135,2896279,print,returns a string representation of this regular expression, prints a tab ,"

public String print( String tab ) {
    if ( content instanceof RegExp ) {
        return tab + ""type = "" + type + Out.NL + tab + ""content :"" + Out.NL + ((RegExp)content).print( tab+""  "" );
    }
    else
        return tab + ""type = "" + type + Out.NL + tab + ""content :"" + Out.NL + tab + ""  "" + content;
} 
"
155,1412807,capitalizeString,capitalizes the first letter of each word, capitalize the first letter of the beginning of a string ,"

public String capitalizeString( String s ) {
    String result = """";
        
    for( int i = 0; i < s.length(); i++ ) {
        if ( i == 0 || s.substring( i - 1, i ).equals( "" "" ))
            result += s.substring( i, i + 1 ).toUpperCase();
        else
            result += s.substring( i, i + 1 );          
    }  
    return result;
} 
"
101,19280843,getInstitutions,this method returns a collection or institution bean objects, returns the list of institutions in the database ,"

public Collection getInstitutions() {
    try {
        if ( iInstitutions == null ) {
            refreshInstitutions();
            logger.debug( ""Institutions were null while getting them. Attempting to refresh."" );
        }
        return iInstitutions;
    }
    catch ( Exception e ) {
        logger.warn( e.getMessage(), e );
        return Collections.EMPTY_LIST;
    }
} 
"
61,45888514,openCursor,opens cursor with custom selection, opens a cursor to the specified source ,"

public Cursor openCursor( Context context, String selection, String[] selectionArgs ) {
    if( mSourcesUri == null ) {
        throw new NullPointerException( ""Sources uri not set."" );
    }
    return context.getContentResolver().query( mSourcesUri, mProjection, selection, selectionArgs, Sources.SourcesTable.NAME );
} 
"
80,34413807,close,notifies all views to de register from their view controllers, close the current preferences ,"

public void close(){
    Tabpanel tempPanel = null;
    View tempView = null;
    List< ? > list;
    Enumeration< Tabbox > tabs = primaryTabMap.keys();

    while ( tabs.hasMoreElements() ) {
        list = tabs.nextElement().getTabpanels().getChildren();
        Iterator< ? > itr = list.iterator();

        while( itr.hasNext() ){
            tempPanel = ( Tabpanel )itr.next();
            tempView = ( View )tempPanel.getChildren().get( 0 );
            tempView.deregisterView();
        }
    }
} 
"
67,34413723,openNewContainerWindow,open a window to start the import process, opens a new window window ,"

public boolean openNewContainerWindow( String containerName, String containerDescription ){
    //if name is blank, disable use default option
    NewContainerImportWindow window;
    if( containerName.equals( """" )){
        window = new NewContainerImportWindow();
    }
    else{
        window = new NewContainerImportWindow( containerName,containerDescription );
    }
    window.setParent( OrganiserView.this );
    try{
        window.doModal();
    }
    catch( InterruptedException ie ){
        ie.printStackTrace( System.err );
    }
    if( doImport ){
        importer.setContainerName( window.getName() );
        importer.setContainerDescription( window.getDescription() );
    }
    return doImport;
} 
"
57,1046788,testAddCountryWithSequenceGenerator,flow 2 positive case hibernate sequence generator, add country object to sequence generator ,"

public void testAddCountryWithSequenceGenerator() throws Exception {
    CountryWithSequence country1 = new CountryWithSequence();
    country1.setCountryId( ""KR"" );
    country1.setCountryName( ""Korea"" );

    Integer countryCode = ( Integer ) session.save( country1 );
    assertEquals( ""fail to generate a new countryCode."", 0, countryCode.intValue() );
    assertNotNull( ""fail to add a new country with sequence generator."", countryCode );
} 
"
28,3456415,testLogin,check that the user login and password are set on session, tests that the login session is still logged in ,"

public void testLogin() {
    SessionManager manager = new SimpleSessionManager();
    String sessionId = manager.createSession( null, null );		
    Session session = manager.getSession( sessionId );
    manager.login( session, ""user"", ""password"" );
		
    assertEquals( ""user"", session.getUserId() );
    assertEquals( ""password"", session.getUserPassword() );
    assertTrue( session.isLoggedIn() );
} 
"
