fid,name,ref,attendgru,function
27798254,pluginRegistryContains,tests if plugin is in registry,checks if the plugin registry contains the given plugin,"
 public boolean pluginRegistryContains(String pluginName) {
        synchronized (registry) {
            Iterator iter;
            for (iter = registry.iterator(); iter.hasNext();) {
                PluginRegistryNode node = (PluginRegistryNode)iter.next();
                if (node.plugin.getName().equals(pluginName)) return true;
            }
        }
        return false;
    } 
"
27801498,setBinWidth,sets the bin width and repaints,sets the bin width of the bin,"

 public void setBinWidth ( double new_bin_width ) {
    double old_bin_width = binWidth;
    binWidth = new_bin_width;
    pcs.firePropertyChange(
      """"binWidth"""",
      new Double( old_bin_width ),
      new Double( new_bin_width )
    );
    repaint();
  } // setBinWidth( double ) 
"
27802185,createGraphModel,create a new pgraph model based on set of nodes,creates a new graph model,"

 public GraphModel createGraphModel ( List includedNodes ) {
    num_models++;
    System.out.println(""""PGraphModel: creating a new non-super graphmodel: """"+num_models);

    GraphModel model =  new PGraphModel( """"Phoebe""""+num_models, getModelSubSet( includedNodes ) );

    getCommunity().add( model );

    //return new PGraphModel( """"Phoebe""""+num_models, getModelSubSet( includedNodes ) );


    return model;
  } 
"
22907997,removeRedundantOperations,optimize the list of files to remove by discarding redundant operations like,removes redundant operations from the list of forbidden ones,"

 private void removeRedundantOperations(OBEXElement file, List<OBEXElement> filesToRemove) {
        OBEXElement parentFolder = file;
        log.debug(""""Removing redundant operations"""");

        while ((parentFolder = parentFolder.getParent()) != null) {

            if (filesToRemove.contains(parentFolder)) {
                filesToRemove.remove(file);
                file = parentFolder;
            }
        }
    } 
"
44521080,BFSdist,traverses the graph breadth first and updates the distance,<UNK> <UNK> <UNK>,"

 public void BFSdist(Node n, Vector ToDo, int[] indirConn){
	Node n2 = null;
	for (Enumeration es = n.adjEdges.elements() ; es.hasMoreElements() ;) {
		n2 = n.adjNode((Edge)es.nextElement());
		if (n2.dist<0){
		n2.dist=n.dist+1;
		indirConn[n2.dist]++;

		// important add adds to the end of the list
		ToDo.add(n2);
		}
	}
	if (!ToDo.isEmpty()){
		n2 = (Node) ToDo.remove(0);
		BFSdist(n2,ToDo,indirConn);
	}
	} 
"
45047585,exportXVRL,transform the validation report object into a xmlstream writer,exports the <UNK> to the given writer,"

 public void exportXVRL(XMLStreamWriter xvrLDoc) throws Exception{
		JAXBContext context = JAXBContext.newInstance(ValidationReport.class);
		Marshaller m = context.createMarshaller();
		m.setProperty(Marshaller.JAXB_FORMATTED_OUTPUT, true);
		ValidationReport vReport = exportVReport();
		if (vReport!=null) m.marshal(vReport, xvrLDoc);
	} 
"
49250848,isInvalidEmailLink,returns code true code if this link is an invalid email address link,checks if the email link contains a valid email address,"

 public boolean isInvalidEmailLink() {
        return textLink.contains(ArticleLink.EMAIL_AT_SEPARATOR) &&
            !textLink.toLowerCase(Locale.getDefault()).startsWith(""""mailto:"""") && //$NON-NLS-1$
            wikiFileURL.getWikiFileName(true).contains(ArticleLink.EMAIL_AT_SEPARATOR);
    } 
"
20950900,load,loads the image from a file,loads the locked file,"

 private void load(LockedFile file) throws SQLIOException {
		file.setPosition(POS_HEADER);

		byte[] buffer = new byte[BASE_HEADER_SIZE];
		file.read(buffer, 0, BASE_HEADER_SIZE);

		type = buffer[POS_TYPE];
		lastUpdate = decode3Date(buffer, POS_LAST_UDPATE);
		recordsNum = DbfUtils.decodeLittleUint16(buffer, POS_RECORDS_NUM);
		recordSize = DbfUtils.decodeLittleUint16(buffer, POS_RECORD_SIZE);
		headerSize = DbfUtils.decodeLittleUint16(buffer, POS_HEADER_SIZE);

		verifyAndFixHeader(file);
	} 
"
31468595,getLength,node list method count the immediate children of this node,returns the length of the node in the list,"

 public int getLength() {

        if (nodeListChanges != changes || nodeListLength == -1) {
            nodeListChanges = changes;
            nodeListLength = 0;
            nodeListIndex = 0;
            nodeListNode = firstChild;
            for (NodeImpl node = firstChild; node != null; node = node.nextSibling) {
                nodeListLength++;
            }
        }
        
        return nodeListLength;

    } // getLength():int 
31468812, public String getAttributeNS(String namespaceURI, String localName) {

        if (syncData) {
            synchronizeData();
        }

        Attr attr = (Attr)(attributes.getNamedItemNS(namespaceURI, localName));
        return (attr == null) ? null : attr.getValue();

    } // getAttributeNS(String,String):String 
5440773, public PageContext getPageContext(Servlet servlet, ServletRequest request, ServletResponse response, String errorPageURL, boolean needsSession, int bufferSize, boolean autoFlush) {
        PageContextImpl context = new PageContextImpl();
        context.initialize(servlet, request, response, errorPageURL, needsSession, bufferSize, autoFlush);
        return context;
    } 
"
34413723,openNewContainerWindow,open a window to start the import process,opens a new container window,"

 	public boolean openNewContainerWindow(String containerName, String containerDescription){
			//if name is blank, disable use default option
			NewContainerImportWindow window;
			if(containerName.equals("""""""")){
				window = new NewContainerImportWindow();
			}
			else{
				window = new NewContainerImportWindow(containerName,containerDescription);
			}
			window.setParent(OrganiserView.this);
			try{
				window.doModal();
			}
			catch(InterruptedException ie){
				ie.printStackTrace(System.err);
			}
			if(doImport){
				importer.setContainerName(window.getName());
				importer.setContainerDescription(window.getDescription());
			}
			return doImport;
		} 
"
