,fid,name,ref,callcon,function
20,45147874,clearFieldersFromField,clear all fielders from the field, clears all observers of the field and removes them from the ,"

public void clearFieldersFromField() {
    // clear all fielders from field
    for ( int i = 0; i < boardXDimension; i++ ) {
        for ( int j = 0; j < boardYDimension; j++ ) {
            for ( int a = 0; a < boardZDimension; a++ ) {
                cricketFieldPositions[ i ][ j ][ a ] = 0;
            }
        }
    }
} 
"
110,31696447,testNegativeParseCases,unit test 1 negative parse tests to make sure the parser detects, tests that a negative expression works correctly ,"

public void  testNegativeParseCases() {
    verbose( ""--->Negative parse tests  START"" );

    for ( int i = 0; i < negativeParseTests.length; i++ ) {
        parseFilter( negativeParseTests[ i ], false );
    }
    // This used to fail until the parser was rewritten with the stack
    // stuff so that it can clean up partially parsed expression trees.
    checkDelete();
  } 
"
149,51577053,addPKColumn,adds a primarykey column, adds primary key column with column name ,"

public void addPKColumn( String aPKColName ) throws IllegalArgumentException {
    Column col = ( Column ) colMap.get( aPKColName );

    if ( col == null ) {
        throw new IllegalArgumentException ( ""The column |"" + aPKColName
                        + ""| does not belong to the table |"" + name + ""|"" );
    }
    pkColumns.add( col );
} 
"
113,31789275,setGenJarDir,recursively walk the given project tree setting the gen jar dir, sets the <UNK> directory for the <UNK> directory ,"

public void setGenJarDir( File genJarDir,SandProject proj ) {
    proj.getAntProject().setProperty( ""genJarDir"", genJarDir.toString() );
    SandProject[] downstream = proj.getRequiredBy();

    for( int i=0; i < downstream.length; i++ ) {
        setGenJarDir( genJarDir, downstream[ i ]); 
    }
} 
"
127,1694531,getUserNameFromCookie,get users name from cookie, returns the name of the user object from a cookie ,"

private String getUserNameFromCookie() throws Exception {
    String userName = null;
    // get user name
    Cookie[] cookies = servletRequest.getCookies();

    for ( int i = 0; i < cookies.length; i++ ) {
        Cookie cookie = cookies[ i ];

        if ( cookie != null && cookie.getName().equals( ""platform.username"" )) {
            String value = cookie.getValue();
            userName = DesEncrypter.getInstance().decrypt( value );
            break;
        }
    }
    return userName;
} 
"
98,1782360,getImageWithSource,returns the first image found in the page with the specified src attribute, returns a web image with the source code ,"

public WebImage getImageWithSource( String source ) {
    WebImage[] images = getImages();

    for ( int i = 0; i < images.length; i++ ) {
        if ( HttpUnitUtils.matches( source, images[ i ].getSource() )) return images[ i ];
    }
    return null;
} 
"
95,26215341,updateGain,set the volume, update the gain factor ,"

private void updateGain() {
    int pos = getValue();
    int value = (int) ( 127 * ( double ) ( pos / 100.0 ));
    MidiChannel[] cs = synthesizer.getChannels();

    for( int I = 0; I < cs.length; i++ ) {
        cs[ i ].controlChange( 7, value );
    }
} 
"
138,12725774,actionPerformed,group select or deselct on all selected rows, invoked when the user presses the selected items ,"

public void actionPerformed( ActionEvent e ) {
    int[] selectedRows = features.getSelectedRows();

    if ( selectedRows.length > 0 ) {
        boolean valueToBeSet = (( Boolean ) features.getValueAt(
            selectedRows[ 0 ], 0 )).booleanValue();

        for ( int i = 0; i < selectedRows.length; ++i ) {
            features.setValueAt( new Boolean( !valueToBeSet ), selectedRows[ i ], 0 );
        }
    }
} 
"
107,36405409,appendDeclarations,p append declarations needed by the code note converter code to, append <UNK> of type <UNK> to the given ,"

public void appendDeclarations( LaTeXDocumentPortion pack, LaTeXDocumentPortion decl ) {
    if ( bContainsEndnotes ) { 
        pack.append( ""\\usepackage{endnotes}"" ).nl(); 
    }
    if ( bContainsFootnotes ) convertFootnotesConfiguration( decl );
    if ( bContainsEndnotes ) convertEndnotesConfiguration( decl );
} 
"
44,36634895,swapItems,this function swaps two items positions in the menu list, swap items of items in the list ,"

public void swapItems( int index, int change ){
    if( index >= 0 && index < allItems.length && change >= 0 && change < allItems.length ){
        MenuItem temp = allItems[ index ];
        allItems[ index ] = allItems[ change ];
        allItems[ change ] = temp;
    }
} 
"
